# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 145102, data version 5.0.
# time_generated : 2025-10-01 14:13:03
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,6.27221
1912,,8.59760
1913,,3.06091
1914,,2.86213
1915,,22.49980
1916,,8.02784
1917,,8.00332
1918,16.62300,12.02565
1919,22.46100,6.18646
1920,161.05701,10.89112
1921,1193.84497,30.91864
1922,36.40000,3.34768
1923,,3.27589
1924,302.89700,13.85651
1925,16.11600,2.09919
1926,513.49402,37.58426
1927,910.21802,55.66379
1928,557.94897,35.79384
1929,627.42700,20.97429
1930,1211.76099,44.62088
1931,113.83400,2.87600
1932,101.51000,10.65796
1933,381.92599,14.93640
1934,115.45600,4.29033
1935,15.67600,2.27982
1936,99.61900,10.50293
1937,510.56601,25.05869
1938,251.53500,18.51480
1939,134.07401,7.91487
1940,88.23800,4.93128
1941,213.07800,13.08632
1942,325.09399,15.14805
1943,309.17700,14.35095
1944,809.44098,34.72243
1945,1044.01196,26.79674
1946,1611.01099,64.10005
1947,839.39197,26.07022
1948,95.34300,6.59103
1949,760.82397,21.10881
1950,377.45700,23.18678
1951,124.60200,11.94307
1952,1538.11499,30.54006
1953,1765.00000,67.12469
1954,624.67102,31.14167
1955,563.13599,32.29700
1956,13.03100,2.86041
1957,205.67099,12.00574
1958,158.53700,15.48153
1959,275.70700,15.75908
1960,180.50299,6.78619
1961,260.78400,12.45724
1962,992.38501,41.93211
1963,,7.90698
1964,18.57100,0.78463
1965,624.67102,23.62088
1966,1023.11401,50.08063
1967,234.32700,17.24463
1968,45.92800,4.84812
1969,132.48401,8.33022
1970,680.99402,35.04005
1971,370.94202,23.15491
1972,513.65503,25.79202
1973,1794.45203,90.47191
1974,120.47900,9.77444
1975,1127.87305,27.71548
1976,164.46399,2.74782
1977,198.19299,19.32254
1978,271.04001,14.50825
1979,720.44000,37.11865
1980,228.07500,10.03525
1981,,8.75186
1982,492.24500,27.69130
1983,340.41998,18.20194
1984,234.55000,3.84225
1985,61.34300,2.05282
1986,,9.91637
1987,,55.75380
1988,,80.22432
1989,,45.72437
1990,,25.09283
1991,,12.28807
1992,,2.93815
1993,,3.41844
1994,,11.54044
1995,,55.86535
1996,,2.75171
1997,,3.21272
1998,,16.09465
1999,,5.88379
2000,,30.52701
2001,,0.98050
2002,,3.32904
2003,,25.20907
2004,,8.32164
2005,,5.25263
2006,33.00700,0.66794
2007,,42.10389
2008,169.69600,16.18814
2009,599.15100,11.71065
2010,352.54199,28.94191
2011,665.83698,27.78638
2012,1155.06006,43.12156
2013,167.90399,11.10916
2014,304.79999,17.29919
2015,88.69000,6.30079
2016,2378.78101,87.07175
2017,113.12300,8.07495
2018,37.01000,2.94947
2019,582.39801,32.25249
2020,566.07898,42.34181
2021,2099.11401,84.68720
2022,54.40400,4.77068
2023,485.56702,36.57455
