# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 212008, data version 5.0.
# time_generated : 2025-10-01 14:13:08
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,2.20629
1912,,1.18428
1913,,0.89811
1914,,0.83950
1915,,0.76751
1916,,5.43572
1917,,2.03483
1918,,0.51765
1919,,0.63582
1920,,1.52676
1921,,4.15836
1922,,0.81787
1923,,0.43212
1924,,1.10170
1925,,1.30252
1926,,0.96155
1927,,1.43601
1928,,0.60069
1929,,0.73617
1930,,1.24293
1931,,0.70250
1932,,0.60425
1933,,1.60209
1934,,3.03653
1935,,0.95624
1936,,0.78655
1937,,0.66140
1938,,0.59654
1939,,0.39425
1940,,0.41343
1941,,0.97303
1942,,6.73287
1943,,3.32343
1944,,3.09044
1945,,1.81247
1946,,0.59546
1947,,4.93053
1948,,1.34655
1949,,9.63260
1950,,4.02764
1951,91.18116,7.13737
1952,6.12200,1.51327
1953,6.12200,1.15776
1954,49.55834,4.04076
1955,262.88232,10.12366
1956,12.33594,0.97368
1957,10.54763,1.22418
1958,24.18510,0.80942
1959,,1.96836
1960,12.92900,1.30855
1961,30.23999,2.20546
1962,42.32797,2.98872
1963,116.18249,22.51195
1964,56.45840,3.40872
1965,2.32684,1.06639
1966,110.27331,4.60401
1967,32.65442,1.25599
1968,10.89839,1.32200
1969,73.89891,2.02323
1970,104.75586,4.27990
1971,64.53498,4.51715
1972,,9.68201
1973,115.10814,5.31317
1974,21.99115,2.44222
1975,262.10190,9.11059
1976,37.54473,1.57517
1977,341.12219,6.87160
1978,11.96017,1.14775
1979,0.57810,0.75062
1980,5.35712,0.75708
1981,32.26295,0.90020
1982,49.18162,0.89732
1983,117.81198,2.66281
1984,68.46162,1.34565
1985,593.94958,34.81922
1986,59.01633,3.28097
1987,81.43792,2.73972
1988,103.32125,9.86668
1989,346.67935,12.49628
1990,18.99059,1.23135
1991,10.14389,6.17830
1992,41.16955,1.75786
1993,44.90480,1.03209
1994,2.39900,0.84685
1995,73.05316,0.87390
1996,10.13365,2.04508
1997,218.87828,9.33570
1998,7.34243,0.61134
1999,161.05780,5.85005
2000,26.57400,2.38536
2001,4.40600,0.75661
2002,1.74600,0.69236
2003,0.62100,0.45829
2004,25.94500,0.66712
2005,63.55600,1.59305
2006,30.04600,0.41632
2007,2.87800,0.59514
2008,15.57000,1.22443
2009,49.58500,0.55756
2010,224.76900,7.80283
2011,167.13501,9.99706
2012,12.76600,2.27352
2013,4.88900,0.66980
2014,11.85801,1.02876
2015,81.67534,1.60043
2016,2.61436,0.76929
2017,4.52743,0.64519
2018,6.86513,0.69134
2019,14.71144,0.56312
2020,42.68822,6.68948
2021,91.03184,6.93261
2022,116.14322,6.18654
2023,3.62200,2.52702
