# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 401210, data version 5.0.
# time_generated : 2025-10-01 14:13:19
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,5.02018
1912,,25.04903
1913,,6.69313
1914,,5.49292
1915,,19.12202
1916,,20.68302
1917,,21.94941
1918,,14.75661
1919,,7.69388
1920,,19.69696
1921,,20.23001
1922,,8.24821
1923,,14.37415
1924,,21.46336
1925,,11.16466
1926,,17.35567
1927,,18.26694
1928,,8.20213
1929,,5.04210
1930,,8.89544
1931,,17.62574
1932,,14.82614
1933,,11.78031
1934,,23.91143
1935,,8.85606
1936,,18.36527
1937,,7.26716
1938,,3.20681
1939,,16.38041
1940,,3.38052
1941,,7.33871
1942,,16.79026
1943,,6.26140
1944,,3.24497
1945,,8.23676
1946,,21.20481
1947,,19.49299
1948,,6.12339
1949,,8.25210
1950,,6.01879
1951,,8.12606
1952,,21.61995
1953,56.24225,10.91629
1954,52.90486,8.41574
1955,99.92072,21.02825
1956,112.68100,16.99222
1957,21.53762,5.64167
1958,66.56771,16.46966
1959,32.16192,9.09390
1960,42.45799,13.39049
1961,32.42512,4.01730
1962,19.74676,5.59988
1963,20.24676,5.37953
1964,63.41505,26.70510
1965,34.24236,6.35575
1966,32.03079,8.22656
1967,11.30868,3.59780
1968,56.56713,20.32459
1969,87.29583,8.54873
1970,101.30231,21.26594
1971,58.45926,21.11604
1972,13.01690,5.21387
1973,59.71551,11.37214
1974,88.45579,19.80251
1975,94.18507,20.78796
1976,36.39664,5.96180
1977,27.44074,5.36084
1978,75.75579,12.58300
1979,41.45556,9.00752
1980,46.55600,8.85070
1981,114.27581,23.65587
1982,13.78623,3.97542
1983,81.64410,14.22020
1984,69.96840,14.13891
1985,47.13056,13.09388
1986,50.67836,14.97331
1987,32.60787,8.34843
1988,54.31863,14.18853
1989,37.22118,5.94729
1990,69.51562,12.23304
1991,45.49097,15.21959
1992,81.84800,14.46695
1993,129.95544,19.89813
1994,24.99201,6.14878
1995,70.00382,20.20376
1996,98.10775,19.61406
1997,12.73912,5.72797
1998,210.49745,27.43818
1999,38.29907,8.46169
2000,58.63414,10.58527
2001,35.92407,7.12360
2002,17.44815,5.06226
2003,63.27100,14.73775
2004,52.43785,6.62895
2005,105.43380,14.44683
2006,5.59641,2.57501
2007,18.51285,4.91437
2008,17.05370,2.89435
2009,14.77326,4.77222
2010,147.28714,20.63244
2011,109.28634,19.50388
2012,99.09780,25.63985
2013,38.64600,14.08217
2014,23.49653,7.31740
2015,,7.42551
2016,141.41501,20.09165
2017,44.76319,19.04924
2018,33.63194,5.31299
2019,49.37500,10.86684
2020,57.55093,21.78860
2021,53.40984,16.61738
2022,99.19225,23.40147
2023,37.96250,12.06503
