# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 215004, data version 5.0.
# time_generated : 2025-10-01 14:13:10
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,8.57968
1912,,12.12286
1913,,11.59126
1914,,2.15260
1915,,0.68266
1916,,34.56316
1917,,1.32083
1918,,2.07053
1919,,1.78580
1920,,14.17049
1921,,35.82505
1922,,1.70124
1923,,0.68604
1924,478.12051,41.88958
1925,29.84619,1.66115
1926,28.08639,1.37366
1927,44.00919,4.97631
1928,,4.33610
1929,199.74625,1.54654
1930,376.62714,2.51694
1931,15.73104,0.90941
1932,18.36466,0.70100
1933,184.82095,12.10447
1934,9.74917,0.91637
1935,248.38907,2.57743
1936,29.40502,1.42470
1937,301.91058,6.18569
1938,255.83498,1.00600
1939,5.36716,0.69551
1940,25.59378,3.24079
1941,240.14471,0.50839
1942,396.85403,13.55130
1943,118.28604,0.53558
1944,702.26483,13.14111
1945,124.48229,0.53214
1946,152.56938,0.57201
1947,161.54272,4.28667
1948,141.02478,8.48775
1949,,18.47093
1950,262.29962,11.91444
1951,208.19193,19.26856
1952,152.63600,3.49773
1953,248.07300,1.88180
1954,,12.49404
1955,324.55820,19.68987
1956,252.47290,2.31543
1957,,5.58080
1958,383.95139,16.96437
1959,383.95139,15.23300
1960,,19.95845
1961,257.24811,10.81881
1962,582.12744,11.37603
1963,243.40425,13.91475
1964,12.19480,0.98627
1965,79.11256,1.45486
1966,306.93839,9.38611
1967,72.52931,1.14963
1968,122.80986,2.79856
1969,147.50874,4.88915
1970,,11.37492
1971,42.56730,1.01211
1972,23.58645,0.75137
1973,326.27231,27.58373
1974,740.26172,26.17602
1975,217.38330,10.75772
1976,440.08679,21.49721
1977,751.43030,41.81678
1978,56.95163,1.48631
1979,36.27644,1.12622
1980,50.39780,0.82597
1981,35.70108,0.53255
1982,124.70080,2.69881
1983,199.95456,6.62654
1984,67.40313,1.01739
1985,,4.66612
1986,78.34949,4.02040
1987,245.26312,36.81334
1988,169.59045,16.63040
1989,352.52258,21.97960
1990,192.88687,29.57730
1991,294.86279,8.87354
1992,48.19779,3.79572
1993,63.17353,6.19585
1994,116.04316,0.85921
1995,,2.22656
1996,290.33322,9.04954
1997,304.84052,12.43582
1998,134.27475,1.26318
1999,329.87735,7.34113
2000,,11.27491
2001,63.55749,8.51044
2002,68.65058,1.08774
2003,18.69972,0.52056
2004,120.64883,2.88196
2005,26.99903,0.76999
2006,182.25760,9.43479
2007,,1.31660
2008,20.66729,0.44028
2009,,2.26961
2010,,1.74419
2011,160.59088,15.36405
2012,325.44946,12.58062
2013,208.52420,1.78406
2014,322.85800,10.29540
2015,138.04700,10.70184
2016,59.12000,1.59720
2017,25.98300,1.28588
2018,56.61100,0.62816
2019,300.44800,28.95426
2020,181.68399,21.63560
2021,,26.77800
2022,141.22299,8.24622
2023,,4.51563
