# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 419005, data version 5.0.
# time_generated : 2025-10-01 14:13:33
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,2.65720
1912,,0.75903
1913,,2.93726
1914,,0.65066
1915,,2.60000
1916,442.84317,6.55288
1917,548.74780,4.57038
1918,21.80419,0.53357
1919,10.32110,0.40476
1920,219.92705,2.48309
1921,472.44699,6.78494
1922,33.18100,1.13399
1923,118.13289,1.62376
1924,464.83847,3.50569
1925,56.08722,0.89108
1926,48.56597,1.11689
1927,,2.38882
1928,173.87210,1.52261
1929,290.86292,1.49569
1930,372.77060,2.56335
1931,410.16214,4.44510
1932,112.98535,2.29693
1933,326.77966,3.14321
1934,565.55139,4.56312
1935,53.79176,0.88140
1936,220.84213,1.54561
1937,142.97665,0.47698
1938,175.82230,0.69744
1939,,1.19307
1940,,1.95200
1941,,0.81881
1942,345.55688,2.60260
1943,67.13123,1.77348
1944,182.64549,1.40754
1945,219.45775,0.79333
1946,555.01599,0.24553
1947,297.38669,5.31291
1948,208.14035,1.95767
1949,672.45374,3.95517
1950,883.38373,5.35078
1951,175.82230,1.50605
1952,489.93619,4.96925
1953,44.93998,0.70263
1954,1186.66504,5.94378
1955,1301.14941,5.81454
1956,331.22031,3.64216
1957,18.39589,0.60037
1958,136.72200,1.31485
1959,165.65598,2.35387
1960,110.34769,2.33249
1961,1694.76282,6.58956
1962,151.88159,2.38999
1963,962.78241,8.29052
1964,162.31001,1.55989
1965,9.70711,0.49735
1966,147.10272,1.81935
1967,88.35882,4.27336
1968,139.68260,1.09374
1969,118.71556,2.17706
1970,534.76312,6.64935
1971,187.04434,1.40986
1972,56.79782,1.38197
1973,369.56824,5.42547
1974,72.40846,1.29549
1975,831.16718,7.04208
1976,277.83270,4.01054
1977,310.58783,3.12693
1978,267.50140,1.85940
1979,73.18700,1.32007
1980,36.11374,0.37385
1981,,2.85685
1982,40.16079,0.38900
1983,516.67627,7.94786
1984,462.94229,3.51722
1985,203.22971,2.95210
1986,271.92059,1.33169
1987,49.63016,1.61757
1988,86.58972,1.33702
1989,256.63654,3.50067
1990,476.57721,2.83519
1991,83.93515,2.43509
1992,22.30692,0.82271
1993,65.77400,2.24292
1994,9.01400,0.34108
1995,661.47998,6.72825
1996,589.95398,3.78247
1997,58.72519,1.13597
1998,1502.50977,6.03017
1999,50.75200,1.67768
2000,496.64429,4.68687
2001,101.30400,1.72253
2002,10.06705,0.81478
2003,793.06964,11.37420
2004,26.25931,0.93150
2005,104.35076,1.08228
2006,7.94247,0.63857
2007,198.09477,2.25938
2008,1028.16077,4.24742
2009,41.68170,0.55769
2010,530.89185,2.51968
2011,1026.68652,7.42648
2012,154.98279,1.78913
2013,4.20633,0.49464
2014,,0.54378
2015,,0.73184
2016,254.09003,1.78080
2017,22.46834,0.77992
2018,2.08110,0.26766
2019,42.11951,2.31326
2020,313.96362,6.65213
2021,343.56628,5.39310
2022,993.74835,6.22037
2023,33.11506,2.21657
