# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 219001, data version 5.0.
# time_generated : 2025-10-01 14:13:11
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,3.67440
1912,,28.55867
1913,,5.37305
1914,,4.40069
1915,,0.96348
1916,,13.65188
1917,,1.72364
1918,,6.73934
1919,,6.37108
1920,,2.79321
1921,,29.64813
1922,,3.91057
1923,,1.46650
1924,7.62209,28.35763
1925,1.41322,1.93442
1926,0.66277,1.75510
1927,1.83707,5.90813
1928,6.98060,4.29108
1929,1.83707,2.29683
1930,,1.55796
1931,,2.84087
1932,,3.26740
1933,,32.92937
1934,,4.69306
1935,,6.03499
1936,,2.22635
1937,,3.21797
1938,,6.47467
1939,,1.14945
1940,,1.08722
1941,,0.69247
1942,,1.06260
1943,,24.67301
1944,,5.13193
1945,,3.34413
1946,,1.35330
1947,,2.13487
1948,13.58918,2.48992
1949,72.20778,9.88099
1950,21.81600,8.90936
1951,114.86424,27.00957
1952,,16.92983
1953,29.12601,3.45547
1954,32.57972,3.21571
1955,20.52218,20.30207
1956,17.41838,10.09081
1957,3.75604,3.00925
1958,42.09560,2.62865
1959,66.37507,5.37201
1960,17.88411,7.20940
1961,33.68964,11.24035
1962,59.96544,8.27071
1963,24.49397,10.02873
1964,1.10609,4.67185
1965,1.20282,2.32709
1966,25.82238,6.05084
1967,0.42404,1.30649
1968,47.38889,2.25032
1969,43.46208,3.89974
1970,126.86501,37.31946
1971,1.85752,2.07307
1972,1.98365,1.08644
1973,84.67286,25.14007
1974,58.32696,39.73205
1975,19.10132,3.87161
1976,96.46645,16.04229
1977,129.07516,30.29654
1978,74.70212,5.83363
1979,4.27171,2.86073
1980,8.27644,2.58643
1981,3.42740,1.16352
1982,58.41397,8.60933
1983,25.60037,2.12411
1984,3.89819,2.65960
1985,34.33603,9.32926
1986,0.60995,2.65240
1987,41.59574,6.67352
1988,18.51499,6.25786
1989,80.27550,7.35847
1990,,41.95981
1991,15.21417,4.65024
1992,16.21343,7.52512
1993,0.50337,2.02966
1994,2.43350,1.96987
1995,5.12961,1.68754
1996,29.54302,14.60609
1997,3.82679,3.09166
1998,2.97637,1.38838
1999,14.96247,2.62619
2000,7.20223,2.64457
2001,3.99870,2.41722
2002,3.11022,1.17695
2003,0.59064,0.97912
2004,2.63892,1.32656
2005,3.74580,1.04901
2006,4.19903,4.42231
2007,0.56543,0.80717
2008,,0.69319
2009,45.55441,15.88566
2010,14.34150,11.76141
2011,,17.13459
2012,12.20500,5.15649
2013,9.35100,4.40449
2014,33.48000,6.17757
2015,32.32400,13.59742
2016,1.84300,2.76333
2017,0.50800,1.76530
2018,0.76000,1.21273
2019,,8.91657
2020,29.26000,13.64449
2021,20.03500,13.58615
2022,21.79500,9.04411
2023,13.28900,8.00496
