# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 215002, data version 5.0.
# time_generated : 2025-10-01 14:13:09
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,4.07874
1912,,7.68775
1913,,9.13905
1914,152.23590,2.36784
1915,14.57321,0.73924
1916,1663.63135,25.48721
1917,205.38397,1.22924
1918,58.86590,1.48194
1919,257.93314,1.94352
1920,277.40271,4.11653
1921,2492.00293,34.15960
1922,113.26852,2.16468
1923,26.02809,1.19384
1924,,50.05554
1925,20.82424,1.75576
1926,53.28682,1.53068
1927,141.38638,1.13954
1928,,1.91846
1929,113.26852,1.03948
1930,474.31192,0.98201
1931,58.86600,1.39140
1932,11.94122,0.63210
1933,1597.31274,11.53701
1934,210.73833,2.49193
1935,380.69745,3.54407
1936,152.23593,1.54509
1937,579.15302,2.60241
1938,152.23590,1.02952
1939,,0.93579
1940,82.07382,1.45319
1941,31.09344,0.52684
1942,1030.74353,2.09310
1943,283.07819,1.69945
1944,2251.21191,13.34685
1945,62.26002,0.96748
1946,218.11998,1.20415
1947,283.07819,4.71063
1948,77.16472,2.48998
1949,,9.19581
1950,377.97607,5.29001
1951,1193.19763,10.90565
1952,,6.30639
1953,,2.43552
1954,,1.99115
1955,,8.63309
1956,,5.73022
1957,,3.18359
1958,,9.02665
1959,2349.77466,9.57598
1960,,5.55650
1961,,16.69521
1962,,4.90009
1963,,3.52947
1964,,1.96460
1965,,1.30966
1966,,12.39859
1967,,1.45894
1968,,4.54010
1969,,2.14890
1970,566.66479,5.20591
1971,163.21460,1.23512
1972,56.52057,0.95812
1973,3070.10596,33.54601
1974,1923.55444,20.55509
1975,728.07501,4.32288
1976,2028.60229,14.12346
1977,3308.84668,16.72112
1978,624.38593,4.98201
1979,12.20065,1.00947
1980,159.77124,1.57218
1981,3.72617,0.72659
1982,413.12534,3.66127
1983,201.65585,3.58744
1984,34.15777,2.06688
1985,480.72302,3.71455
1986,392.69974,3.63072
1987,,20.84157
1988,,7.24672
1989,736.41595,7.91243
1990,1523.16187,17.60690
1991,501.75104,4.28889
1992,313.23447,3.75615
1993,152.22705,2.60147
1994,461.07880,2.72748
1995,222.88655,1.29715
1996,604.71234,6.28616
1997,568.92468,11.01665
1998,56.08889,1.66207
1999,395.48465,2.41971
2000,175.07520,2.37825
2001,127.21839,1.73577
2002,18.73204,0.79218
2003,11.61855,0.65379
2004,41.38601,1.11681
2005,,1.30044
2006,127.69756,2.69907
2007,16.11184,1.01235
2008,2.18389,0.59624
2009,115.82076,3.46252
2010,251.68057,2.96481
2011,421.01788,9.84805
2012,399.03387,4.63556
2013,284.18869,1.99132
2014,258.64661,4.43251
2015,747.73608,11.41243
2016,49.41417,1.73108
2017,9.49500,1.32098
2018,13.11200,0.73716
2019,1464.37695,16.41269
2020,824.33099,14.15052
2021,573.93298,11.21687
2022,396.63400,6.85836
2023,,5.14417
