# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 111101, data version 5.0.
# time_generated : 2025-10-01 14:12:56
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,56.68908
1912,,203.53464
1913,,54.07829
1914,,24.25071
1915,,93.92271
1916,,83.05763
1917,,62.85574
1918,,44.92086
1919,,61.28447
1920,,121.56158
1921,,112.67883
1922,,64.51453
1923,,123.42885
1924,,88.39864
1925,,71.37058
1926,,146.94809
1927,,104.08064
1928,,83.78016
1929,,90.25652
1930,,122.23649
1931,,148.49997
1932,,116.76497
1933,,106.05076
1934,,225.85675
1935,,101.76092
1936,,94.71575
1937,,108.33307
1938,650.85303,117.08347
1939,595.22998,115.85665
1940,620.71301,118.19019
1941,274.03601,54.82914
1942,595.22998,61.17905
1943,416.07401,50.31840
1944,613.34802,96.73139
1945,650.85303,115.33098
1946,287.57300,38.40838
1947,438.91101,90.29538
1948,743.79602,154.14665
1949,438.91101,57.71886
1950,350.47800,70.93185
1951,302.93399,76.07668
1952,481.18701,76.40290
1953,142.53500,38.37016
1954,543.33203,86.86482
1955,263.49600,58.35319
1956,363.04199,61.33167
1957,390.65698,85.61029
1958,447.89700,75.75056
1959,208.01599,51.25648
1960,182.84100,39.27160
1961,337.26401,46.41234
1962,519.81299,75.25713
1963,555.77698,83.49352
1964,456.99600,77.13837
1965,175.84700,28.75209
1966,666.33801,188.98676
1967,342.76501,79.72308
1968,600.31598,79.62281
1969,,80.92719
1970,,77.54333
1971,,87.40502
1972,,75.93290
1973,,129.11932
1974,,58.51694
1975,,55.17857
1976,,159.30556
1977,,32.41930
1978,,190.11510
1979,,52.99945
1980,678.13702,160.02586
1981,550.04297,105.24657
1982,433.11401,90.81017
1983,485.08701,72.45885
1984,540.00000,87.88454
1985,546.68597,116.30672
1986,298.00800,55.32007
1987,350.06900,61.28659
1988,757.56702,65.02397
1989,531.62500,75.65436
1990,477.54102,73.94415
1991,280.63202,36.63867
1992,187.17200,53.46714
1993,606.82300,126.04617
1994,655.06000,133.33592
1995,576.68597,105.05458
1996,630.39001,99.89494
1997,586.74902,120.82215
1998,891.57800,166.13815
1999,596.50098,77.75171
2000,479.55301,85.95622
2001,162.32700,30.48823
2002,334.74298,43.07561
2003,821.85699,147.60840
2004,380.23199,71.86910
2005,571.84802,85.33760
2006,595.21100,87.24017
2007,476.57401,84.01363
2008,669.04700,117.96476
2009,371.31601,57.92285
2010,541.45898,91.03507
2011,517.32397,87.23992
2012,364.98001,77.29978
2013,567.12500,84.53927
2014,403.22198,60.14960
2015,375.75101,60.74821
2016,355.86902,103.77724
2017,504.20599,138.87772
2018,302.94000,72.33145
2019,267.55600,56.51597
2020,428.59500,81.01976
2021,281.07901,54.00914
2022,334.01700,65.05760
2023,,153.65993
