# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 403205, data version 5.0.
# time_generated : 2025-10-01 14:13:21
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,6.69155
1912,,30.04783
1913,,6.19502
1914,,2.07844
1915,,18.49533
1916,,22.31125
1917,,37.35776
1918,,18.88924
1919,,3.63284
1920,,14.21096
1921,,21.84795
1922,,7.37065
1923,,17.00352
1924,,25.60552
1925,36.09919,14.21408
1926,49.81470,14.43820
1927,38.34398,22.15298
1928,94.16400,15.99290
1929,,11.80313
1930,59.75278,11.68919
1931,74.97373,17.80006
1932,61.07164,14.34975
1933,74.97373,15.09742
1934,,21.06828
1935,,12.84883
1936,,20.77094
1937,,10.09859
1938,,4.91255
1939,,20.18562
1940,,1.24316
1941,,5.66884
1942,,24.29551
1943,,6.42498
1944,8.28368,1.10869
1945,20.38310,8.06991
1946,91.30093,24.62999
1947,68.79398,19.31625
1948,40.68727,9.10699
1949,40.68727,9.04339
1950,22.27060,5.19193
1951,58.46412,13.31302
1952,88.88160,25.61649
1953,54.24016,15.70660
1954,43.45602,9.38240
1955,148.62848,20.76268
1956,129.40729,25.21902
1957,23.97778,7.03720
1958,91.56528,20.01994
1959,33.92650,13.83107
1960,49.46586,13.29932
1961,14.54653,2.85704
1962,21.76111,8.09941
1963,25.52396,11.26926
1964,80.52176,24.77222
1965,35.41030,11.25043
1966,30.81111,11.37719
1967,12.54201,1.95405
1968,66.28542,17.83867
1969,24.28843,10.96442
1970,96.73079,21.64955
1971,53.53032,13.59144
1972,17.24537,3.38830
1973,67.51100,15.69676
1974,183.59560,31.74334
1975,105.01227,22.32049
1976,34.08507,6.14351
1977,13.82801,4.78378
1978,38.34560,12.09669
1979,50.59641,14.79677
1980,29.99838,7.66848
1981,116.11019,22.10284
1982,13.32801,1.85986
1983,71.08252,12.17961
1984,55.47593,16.68106
1985,60.68519,15.44267
1986,78.51157,21.01223
1987,32.62789,11.00472
1988,50.40845,18.98037
1989,33.11771,8.95577
1990,57.90405,15.04468
1991,47.90891,15.14724
1992,54.05625,13.44230
1993,284.63229,34.51512
1994,10.89931,3.26736
1995,71.08484,29.30110
1996,104.16609,19.01517
1997,19.96725,4.47993
1998,193.25684,34.28829
1999,27.61644,9.69998
2000,69.22292,18.11019
2001,33.31551,10.35207
2002,16.27083,3.71117
2003,49.63808,16.17478
2004,50.95440,10.76388
2005,44.75718,13.92326
2006,3.15972,0.89477
2007,19.28368,5.30148
2008,12.12778,2.17573
2009,19.56481,6.22719
2010,64.44051,27.88354
2011,42.49236,13.83902
2012,48.13171,27.19000
2013,54.39792,19.71688
2014,28.76678,8.04537
2015,16.46065,3.53681
2016,120.31690,21.99525
2017,57.62037,23.56750
2018,17.97488,5.19250
2019,26.39248,4.97895
2020,34.77141,16.26765
2021,46.61088,12.85439
2022,65.83877,17.77694
2023,84.36921,21.02202
