# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 132001, data version 5.0.
# time_generated : 2025-10-01 14:12:58
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,0.68108
1912,,70.48997
1913,,1.63988
1914,,24.06699
1915,,0.37354
1916,,7.02405
1917,,41.24778
1918,,0.54220
1919,,0.99666
1920,,0.94006
1921,,68.73602
1922,,0.82902
1923,,5.75875
1924,,1.82350
1925,,0.29000
1926,,39.39566
1927,,40.20086
1928,,43.10909
1929,,19.34550
1930,,1.62445
1931,,0.58431
1932,,2.10660
1933,,20.08952
1934,,1.96072
1935,,3.94763
1936,,26.60120
1937,,3.68880
1938,179.71500,4.14709
1939,1599.58496,24.17268
1940,46.62600,0.73461
1941,2827.77808,109.99657
1942,539.35901,7.93175
1943,423.66699,3.20050
1944,40.78500,0.64797
1945,163.42801,1.43221
1946,4037.69312,64.44995
1947,732.14197,10.99435
1948,2589.35596,42.01219
1949,604.67102,1.86819
1950,494.47400,9.68285
1951,193.67300,2.59525
1952,520.94702,8.60484
1953,1203.62500,36.66558
1954,1526.73999,38.67737
1955,1416.67505,25.07120
1956,2098.84106,44.52786
1957,301.80600,9.54697
1958,171.92801,5.72525
1959,116.76700,2.14584
1960,631.64301,8.93587
1961,,4.56828
1962,1409.30701,15.26929
1963,14.15800,0.29582
1964,108.15600,2.01542
1965,7.79300,0.35229
1966,72.20500,1.51584
1967,684.94397,13.49734
1968,14.68800,0.42583
1969,107.22200,0.32079
1970,2153.82397,40.54267
1971,709.91400,7.70006
1972,256.04300,3.49407
1973,3863.82690,82.89850
1974,675.12903,1.67518
1975,738.40302,9.83870
1976,1332.66003,14.13854
1977,2908.10205,53.12659
1978,714.53699,3.80378
1979,273.04599,1.00650
1980,1384.52795,15.12751
1981,38.48800,0.90228
1982,1227.98206,31.72372
1983,89.26400,0.54051
1984,173.75000,3.19329
1985,667.48602,3.19554
1986,133.89200,0.77084
1987,39.47500,0.34542
1988,1200.02698,7.66136
1989,772.41400,14.82987
1990,1911.69202,36.99199
1991,313.16101,7.34788
1992,6.26200,0.33730
1993,361.51199,3.37114
1994,7.18500,0.33464
1995,1904.93896,22.26396
1996,396.03601,3.29540
1997,31.16800,0.37152
1998,309.81299,3.86253
1999,143.09900,1.13081
2000,704.49500,4.11547
2001,165.88600,0.39207
2002,2768.38403,64.30664
2003,494.40900,6.68638
2004,154.77301,0.97258
2005,61.42700,4.32403
2006,,0.51661
2007,1086.12500,22.16108
2008,366.09100,9.25860
2009,2020.92700,38.88685
2010,1892.57800,50.51319
2011,543.24500,11.53579
2012,3268.52393,119.88457
2013,1421.22302,17.22135
2014,2296.01196,48.36111
2015,474.55200,9.18962
2016,1991.24902,54.02645
2017,554.78998,2.58726
2018,1.78100,0.52968
2019,282.91998,3.48915
2020,112.12300,0.53287
2021,124.72800,0.85700
2022,169.66501,2.67623
2023,59.07300,0.51144
