# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 208006, data version 5.0.
# time_generated : 2025-10-01 14:13:05
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,6.88632
1912,,42.84358
1913,,10.24472
1914,,18.64460
1915,,5.01930
1916,,10.36948
1917,,8.91098
1918,,6.83577
1919,,4.13277
1920,,25.72290
1921,,16.22411
1922,,4.30113
1923,,5.92709
1924,,12.57465
1925,,16.52465
1926,,20.07823
1927,,15.63985
1928,,31.65821
1929,,40.43940
1930,,28.64411
1931,,11.86610
1932,,6.70738
1933,,14.94385
1934,,7.07434
1935,,14.43093
1936,,10.80966
1937,,13.86830
1938,,15.57399
1939,,2.38715
1940,,4.09766
1941,,10.86191
1942,,16.74722
1943,,8.06596
1944,,20.77373
1945,307.56790,34.28097
1946,144.32681,3.47203
1947,334.14355,14.23709
1948,229.09384,27.49374
1949,408.33249,27.04967
1950,273.80566,25.34993
1951,352.42053,24.08647
1952,130.41986,12.18254
1953,585.84412,15.39537
1954,563.09003,35.97087
1955,1048.51685,20.03261
1956,233.34860,12.21542
1957,63.68010,2.83218
1958,295.51248,12.30272
1959,198.46080,7.07463
1960,133.00012,4.08005
1961,250.66437,17.94496
1962,655.57117,27.93267
1963,164.25543,8.20257
1964,68.92663,7.16955
1965,44.32204,2.05670
1966,165.02025,13.43910
1967,242.05579,21.39317
1968,,19.42107
1969,,6.76643
1970,,24.13252
1971,105.61604,17.11626
1972,493.80286,13.23421
1973,525.17358,21.48538
1974,133.38446,7.23406
1975,552.36908,22.28590
1976,488.04492,25.70339
1977,1939.64539,46.64727
1978,174.36250,14.33630
1979,326.89590,1.56762
1980,327.24896,4.57873
1981,178.71341,10.06180
1982,153.86270,11.53577
1983,417.93655,16.09639
1984,298.11710,23.23709
1985,141.75926,7.90536
1986,99.31874,7.75498
1987,251.73624,10.09091
1988,281.64386,12.07637
1989,813.21564,44.21469
1990,74.43686,3.67912
1991,258.53644,14.95127
1992,124.42163,6.96382
1993,42.22106,3.65852
1994,475.07413,19.72426
1995,289.40829,7.02736
1996,,9.33071
1997,105.02329,11.99341
1998,338.25943,29.20280
1999,197.29259,16.14441
2000,540.46033,33.56512
2001,181.67633,6.28815
2002,145.21184,7.64195
2003,163.35475,9.70024
2004,509.31982,12.20280
2005,63.61991,7.22859
2006,257.53900,10.39256
2007,296.21854,16.76744
2008,503.87671,26.46502
2009,154.32503,9.63962
2010,693.54333,44.26553
2011,392.52087,26.59707
2012,650.00208,34.82887
2013,63.79005,5.31576
2014,89.79200,6.57442
2015,94.84748,14.20338
2016,353.25589,23.99183
2017,175.95386,19.95795
2018,35.59103,3.13191
2019,469.79840,9.91952
2020,1101.16321,48.63365
2021,552.08331,33.39310
2022,92.57236,6.11470
2023,22.13700,6.71560
