# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 223202, data version 5.0.
# time_generated : 2025-10-01 14:13:13
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,9.68831
1912,,3.06612
1913,,5.64545
1914,,2.62508
1915,,1.53116
1916,,4.07595
1917,,1.82007
1918,,1.97849
1919,,14.23440
1920,,7.50998
1921,,1.94500
1922,,2.06255
1923,,3.09229
1924,,2.99702
1925,,9.89801
1926,,3.52047
1927,,3.80313
1928,,5.09740
1929,,2.06114
1930,,8.81021
1931,,2.83241
1932,,6.95921
1933,,8.03642
1934,,4.32241
1935,,5.34930
1936,,9.00223
1937,,1.68530
1938,,2.30411
1939,,3.83480
1940,,2.03803
1941,,4.26940
1942,,3.65290
1943,,2.11914
1944,,2.28593
1945,,1.54049
1946,,2.90542
1947,5.66343,1.26758
1948,18.30035,1.94870
1949,38.55926,8.17458
1950,130.20197,8.28940
1951,100.88947,6.38383
1952,420.68982,7.38841
1953,36.87812,4.41596
1954,73.45660,6.68246
1955,18.77025,2.63545
1956,37.61574,4.83933
1957,54.05023,8.53401
1958,14.80671,1.87579
1959,164.19907,5.79192
1960,46.94479,2.61933
1961,50.58252,3.92930
1962,21.50347,2.48031
1963,19.30787,2.88133
1964,13.13009,2.09852
1965,57.04549,3.97686
1966,75.91944,3.49476
1967,8.82141,1.15176
1968,16.76123,2.33595
1969,88.13542,6.88525
1970,48.51204,4.67879
1971,81.98553,6.68004
1972,36.43819,4.27098
1973,67.09745,3.25765
1974,135.87546,6.47187
1975,69.78021,4.41591
1976,36.73704,2.67168
1977,50.00845,2.36932
1978,103.44456,6.22842
1979,2.43056,1.28397
1980,13.06354,2.74494
1981,,5.79802
1982,14.89400,2.44631
1983,56.94201,3.17884
1984,88.93206,4.66971
1985,155.98404,5.28453
1986,17.03090,1.65468
1987,14.49433,2.30066
1988,175.55728,4.95212
1989,43.24988,2.81547
1990,55.39734,3.91831
1991,64.17025,7.29690
1992,51.27141,3.67738
1993,131.46573,6.24697
1994,19.10671,3.82853
1995,70.43935,4.56474
1996,20.60185,2.57865
1997,7.31644,1.45281
1998,404.95996,11.78748
1999,7.87211,1.22466
2000,27.16597,2.07392
2001,34.69537,2.51918
2002,25.03113,1.98514
2003,19.07523,1.59832
2004,26.31030,1.91016
2005,,6.29993
2006,3.40683,0.96956
2007,94.05671,6.85796
2008,81.08993,2.18423
2009,10.69387,2.18741
2010,50.53924,2.38937
2011,95.82373,4.71605
2012,516.15796,10.47672
2013,59.49421,2.35589
2014,58.20729,3.71424
2015,29.53924,2.18480
2016,384.05972,9.83804
2017,4.67280,2.40117
2018,6.01817,2.24948
2019,2.81065,2.15447
2020,19.57535,1.77309
2021,114.16979,4.30990
2022,154.16077,8.68001
2023,24.53194,3.69721
