# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 120002, data version 5.0.
# time_generated : 2025-10-01 14:12:57
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,0.68316
1912,,3.83023
1913,,1.71819
1914,,0.46007
1915,,5.77305
1916,,20.46628
1917,,26.22763
1918,,0.72768
1919,,12.50437
1920,,0.97276
1921,,4.68268
1922,,0.52290
1923,,12.50857
1924,,26.24581
1925,,1.23116
1926,,40.12762
1927,,5.29405
1928,,5.01006
1929,,6.39730
1930,,1.62245
1931,,0.99314
1932,,2.45722
1933,,7.75909
1934,,0.15270
1935,,5.28056
1936,,2.99985
1937,,5.70459
1938,,0.76952
1939,,22.10829
1940,,4.20995
1941,,2.74812
1942,,3.93504
1943,,3.67693
1944,,18.74643
1945,,32.84738
1946,,9.04724
1947,3018.57471,3.75609
1948,3351.98877,4.54237
1949,23143.08203,32.89362
1950,7049.91357,12.29864
1951,2470.99194,1.09485
1952,14806.51562,23.51108
1953,6852.56982,14.61294
1954,13969.94531,15.39582
1955,19273.14258,28.51769
1956,2429.94629,3.43248
1957,10600.97070,12.24300
1958,10641.54102,2.23328
1959,3876.95117,2.81628
1960,2336.62036,1.05460
1961,782.37213,1.61948
1962,3020.81030,3.16337
1963,5309.36328,2.78507
1964,5595.51904,3.90865
1965,2093.33252,1.44320
1966,2296.51880,4.70528
1967,12986.21680,20.40257
1968,128.13310,0.17149
1969,3366.53345,1.61227
1970,3244.97632,5.96621
1971,16647.32031,26.21777
1972,2649.36328,2.47770
1973,16222.41797,33.36129
1974,3598.53735,5.70236
1975,5139.30078,3.90784
1976,4261.92480,5.38362
1977,1201.41650,1.16721
1978,10210.00977,18.49387
1979,6108.91748,3.83877
1980,10087.70996,25.44705
1981,1101.43018,1.09085
1982,2709.60498,3.27406
1983,3773.36182,7.21876
1984,382.13699,0.35331
1985,7256.01514,8.06289
1986,615.05103,0.22858
1987,,0.51291
1988,3801.56982,1.85961
1989,11104.23438,6.12014
1990,21901.03125,39.30839
1991,1177.50232,1.42618
1992,223.57928,0.28381
1993,7694.44629,5.52319
1994,952.66797,0.43030
1995,3201.13965,1.01819
1996,17807.58789,16.44868
1997,23958.62891,30.93975
1998,1885.64087,1.52307
1999,7069.96875,13.56435
2000,6029.34570,14.87334
2001,12205.53027,16.26647
2002,1751.36658,3.50857
2003,2244.50415,2.78452
2004,9915.52344,11.98106
2005,2276.15894,3.53806
2006,11529.25684,16.47401
2007,9881.39746,20.59078
2008,24201.50977,42.95069
2009,3055.62671,10.05252
2010,18946.55664,13.29720
2011,13856.18359,21.11364
2012,5884.95752,4.35804
2013,3036.08203,2.54432
2014,167.27257,0.23710
2015,1061.52722,3.23103
2016,1372.51172,2.05071
2017,6176.75293,17.53085
2018,18225.32617,37.29723
2019,1738.46204,1.07208
2020,8315.93652,14.66309
2021,5441.89697,3.42168
2022,4352.01416,8.02650
2023,,3.63857
