# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 401201, data version 5.0.
# time_generated : 2025-10-01 14:13:18
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,271.67212,3.00468
1912,758.49817,8.09902
1913,245.58691,2.93520
1914,116.07894,1.58952
1915,523.10822,5.11026
1916,516.06354,6.92996
1917,1543.62585,8.50339
1918,431.41101,4.64443
1919,336.89120,4.64069
1920,606.02039,6.33187
1921,1200.67603,6.52629
1922,408.54999,3.90272
1923,361.41458,4.23155
1924,1045.05859,5.36565
1925,340.19641,4.19932
1926,314.64191,4.11206
1927,319.27719,4.04166
1928,243.03369,2.17817
1929,293.12744,1.87295
1930,709.03333,3.03338
1931,1472.12964,10.84880
1932,918.28229,6.45866
1933,480.67026,4.57705
1934,1341.24268,9.70476
1935,331.37592,3.23545
1936,494.84814,5.50403
1937,242.17291,2.78234
1938,95.60370,1.02538
1939,794.56213,6.79998
1940,136.08183,1.46184
1941,201.52499,3.68540
1942,673.26935,7.69537
1943,364.96552,2.27573
1944,165.43265,1.69621
1945,381.94305,2.34835
1946,789.45026,8.99120
1947,688.58447,3.45214
1948,670.94702,4.12498
1949,417.99619,4.16967
1950,344.87802,4.21250
1951,343.09686,4.35617
1952,882.48914,7.37534
1953,629.97882,3.56360
1954,437.81183,4.17642
1955,1048.42578,6.65274
1956,659.71075,6.44749
1957,274.24896,4.91632
1958,696.16577,6.02549
1959,258.72223,3.77543
1960,1141.01648,7.52706
1961,135.69745,2.53568
1962,169.97464,1.86875
1963,174.65312,2.17062
1964,560.38092,9.57998
1965,196.68170,2.92032
1966,332.81619,4.39007
1967,131.67905,1.09906
1968,,6.53979
1969,440.90704,4.42852
1970,1137.24744,7.84643
1971,353.75232,5.72943
1972,154.08368,1.89580
1973,488.71158,4.79915
1974,1583.85986,8.79629
1975,1447.34875,8.71287
1976,814.06018,5.80210
1977,251.66991,2.33732
1978,475.84537,3.72976
1979,321.43750,2.19869
1980,208.97708,2.42301
1981,744.27740,7.57668
1982,110.27199,1.17452
1983,707.89215,5.20841
1984,582.48285,5.03446
1985,302.40103,3.15110
1986,486.57767,5.39759
1987,250.82315,2.70922
1988,361.30081,4.18282
1989,244.57269,2.87789
1990,732.74200,5.78467
1991,394.55060,5.67949
1992,1001.61206,5.78546
1993,888.96399,7.08006
1994,159.37500,1.83007
1995,635.78265,5.26000
1996,652.40912,6.01077
1997,166.13031,1.97411
1998,693.24097,4.44780
1999,267.73914,2.65149
2000,554.64618,4.61274
2001,204.81598,2.51566
2002,185.08853,2.16579
2003,533.40094,4.83310
2004,271.70905,2.13257
2005,569.63586,4.34302
2006,113.82025,0.80424
2007,126.93623,2.36920
2008,235.40094,1.33997
2009,166.99792,1.81814
2010,1404.27405,9.92403
2011,467.83890,7.87905
2012,1638.66907,21.89431
2013,315.25671,4.90453
2014,206.24873,2.81365
2015,140.70337,1.98730
2016,694.12500,7.97864
2017,240.79178,4.05757
2018,120.89653,1.69048
2019,143.24896,2.18097
2020,279.53308,3.96733
2021,747.91455,5.87582
2022,1132.32031,10.53394
2023,226.49792,5.11993
