# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 224203, data version 5.0.
# time_generated : 2025-10-01 14:13:14
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,6.57210
1912,,5.29332
1913,,5.24945
1914,,2.47313
1915,,2.98397
1916,,15.57963
1917,,5.94891
1918,,3.64492
1919,,14.24099
1920,,2.78917
1921,,4.08422
1922,,2.53964
1923,,4.10510
1924,,4.45255
1925,,6.10757
1926,,2.55134
1927,,6.37532
1928,,5.38678
1929,,2.65624
1930,,7.25726
1931,,4.18266
1932,,6.33992
1933,,8.42049
1934,,6.57058
1935,,15.46717
1936,,10.73842
1937,82.42176,1.99992
1938,82.42176,0.91244
1939,407.77271,5.31668
1940,67.94444,1.16003
1941,191.09375,2.99736
1942,679.44446,4.34401
1943,125.98032,1.78594
1944,343.66943,4.06007
1945,113.26562,1.85322
1946,296.22522,4.18850
1947,176.80382,2.12342
1948,129.63808,2.23568
1949,789.38715,10.07785
1950,712.86005,9.04862
1951,653.23505,8.30711
1952,,15.13000
1953,399.67511,4.23410
1954,481.00183,4.72600
1955,366.48276,4.36285
1956,442.41956,6.56437
1957,277.02454,7.89846
1958,443.08368,4.43263
1959,854.49390,6.35306
1960,229.79051,4.28067
1961,521.95599,3.71413
1962,115.72558,2.22176
1963,370.73355,3.10190
1964,235.51273,7.44049
1965,142.37373,2.32701
1966,312.33646,3.86061
1967,,1.10943
1968,394.68286,3.31127
1969,500.72049,7.88858
1970,978.08057,8.93759
1971,1108.80139,6.04531
1972,61.82870,0.96568
1973,208.72998,3.27127
1974,781.54535,9.00063
1975,280.69940,3.96310
1976,581.88715,4.20978
1977,95.25741,1.47045
1978,819.00128,8.86934
1979,152.75684,2.46644
1980,114.35058,1.97132
1981,328.65207,4.67675
1982,108.49259,3.25291
1983,170.40036,2.65611
1984,423.64050,5.27051
1985,759.47467,3.54705
1986,343.54791,3.35746
1987,228.17639,5.27542
1988,490.54190,3.44490
1989,173.80069,3.34929
1990,1539.35181,15.34399
1991,621.01398,8.65543
1992,437.33878,5.02406
1993,642.15485,10.11117
1994,58.92905,1.99733
1995,286.23102,5.76074
1996,309.65082,3.31820
1997,75.21435,1.11976
1998,1427.43372,9.68579
1999,112.82743,1.99262
2000,224.87997,3.05690
2001,114.95856,2.12338
2002,233.07742,1.38114
2003,270.44989,2.18030
2004,139.70337,1.72148
2005,459.53925,2.89558
2006,26.33090,0.57736
2007,1536.12683,13.51871
2008,115.73843,0.84817
2009,122.12037,1.47975
2010,642.74841,4.97436
2011,839.19861,7.16209
2012,1248.36096,7.20994
2013,300.47083,2.43194
2014,216.39108,2.16796
2015,83.12720,1.45786
2016,906.20404,9.61693
2017,18.35579,2.93044
2018,69.03623,0.88491
2019,92.12894,0.77213
2020,202.23715,2.17356
2021,438.73218,4.44516
2022,222.70255,4.12367
2023,788.07092,5.55855
