# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 410047, data version 5.0.
# time_generated : 2025-10-01 14:13:27
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,1.28240
1912,,0.91494
1913,,0.66429
1914,,0.61058
1915,,1.68850
1916,,6.26597
1917,,5.14567
1918,,2.48674
1919,,0.84050
1920,,3.05922
1921,,2.27791
1922,,1.42817
1923,,3.96313
1924,,2.61466
1925,,1.66547
1926,,2.48958
1927,,1.42049
1928,,1.08702
1929,,0.57678
1930,,0.89642
1931,,16.44362
1932,,3.59494
1933,,1.44922
1934,,4.13327
1935,,2.83012
1936,,2.58823
1937,,1.75177
1938,7.97567,0.39324
1939,,8.09869
1940,4.55392,0.74174
1941,34.35223,2.40036
1942,104.93940,3.18418
1943,26.26502,1.00418
1944,3.04456,0.51521
1945,73.67705,0.84037
1946,44.43745,3.21144
1947,64.63612,1.17805
1948,,1.71076
1949,140.16507,2.22196
1950,147.95352,1.42758
1951,118.70784,1.73541
1952,154.97577,2.52529
1953,38.67888,1.85787
1954,33.88931,1.31590
1955,205.53601,3.55363
1956,221.86600,7.22452
1957,10.96943,1.24767
1958,75.61328,3.42865
1959,14.51826,0.88097
1960,77.73428,9.58648
1961,31.22138,1.71771
1962,26.40104,1.02386
1963,27.71000,1.09375
1964,108.58412,5.44140
1965,8.98438,0.82568
1966,179.61127,2.19441
1967,4.23932,0.39515
1968,100.79948,5.29034
1969,242.34601,2.84912
1970,331.87671,6.91486
1971,42.85543,2.55953
1972,34.60508,1.37186
1973,127.55833,2.63199
1974,405.93176,6.82200
1975,189.62207,6.43018
1976,170.33449,2.59220
1977,92.49062,1.36196
1978,269.25552,3.49579
1979,41.80282,1.34012
1980,73.09760,1.28496
1981,260.27933,6.90988
1982,5.06890,0.90781
1983,400.90475,8.51364
1984,155.11272,3.74893
1985,52.02315,1.29913
1986,191.75441,3.02521
1987,68.97525,2.19938
1988,141.77385,2.85001
1989,109.95216,1.76073
1990,190.11288,3.73654
1991,36.89332,1.76466
1992,315.48291,5.05896
1993,262.61258,4.18545
1994,11.12801,0.85097
1995,207.60106,5.30726
1996,84.30325,3.01876
1997,18.02740,1.07089
1998,122.19359,2.49091
1999,62.93892,1.85746
2000,97.39995,3.14695
2001,14.50396,1.02933
2002,10.72128,1.08064
2003,41.17602,1.74286
2004,30.25308,1.07725
2005,182.35103,3.15547
2006,1.69257,0.38787
2007,,1.86665
2008,9.01894,0.89605
2009,31.27600,0.50607
2010,457.84650,12.98923
2011,91.72187,3.32714
2012,275.09399,14.36047
2013,33.28800,1.68706
2014,26.17600,1.10444
2015,30.63490,0.89162
2016,233.79013,7.27272
2017,17.43189,1.58610
2018,12.50897,0.64080
2019,6.36652,0.50779
2020,28.40160,1.26588
2021,168.30351,5.33015
2022,281.79303,7.23564
2023,25.48869,1.29375
