# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 138107, data version 5.0.
# time_generated : 2025-10-01 14:13:01
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,15.65997
1912,,43.43231
1913,,23.54638
1914,,41.40498
1915,,3.60701
1916,,18.21772
1917,,23.74703
1918,,22.32114
1919,,22.99074
1920,,38.24560
1921,,23.97391
1922,,13.39188
1923,,14.68236
1924,,43.86742
1925,,2.07129
1926,,62.71349
1927,,69.13260
1928,,45.48772
1929,,32.51548
1930,,103.75420
1931,,2.84420
1932,,3.01825
1933,,32.60291
1934,,18.95329
1935,,25.61322
1936,,62.11283
1937,,47.06062
1938,,26.75393
1939,,13.72288
1940,,44.49146
1941,,22.12183
1942,,11.32900
1943,,48.31771
1944,,13.30497
1945,,50.71682
1946,,45.83457
1947,165.58400,48.85255
1948,66.40100,27.65427
1949,293.89899,71.40572
1950,97.47900,83.59865
1951,35.28700,13.80280
1952,121.92400,60.10306
1953,140.39700,46.34402
1954,237.21399,92.23621
1955,119.61600,54.52092
1956,79.43700,25.15740
1957,167.08499,63.42342
1958,140.35199,37.37292
1959,230.30400,39.38863
1960,35.20800,8.12133
1961,54.02800,15.01116
1962,271.66800,61.64262
1963,241.59000,33.82899
1964,224.37601,31.47069
1965,65.07600,12.64911
1966,295.97699,51.22495
1967,392.46500,119.25899
1968,23.86500,2.86888
1969,153.16501,36.27164
1970,202.10600,42.56843
1971,451.88699,93.19867
1972,90.47100,20.07631
1973,478.29401,102.92087
1974,65.37900,13.09041
1975,267.35602,33.66132
1976,5.80700,0.32168
1977,99.89200,13.74136
1978,41.68800,17.02662
1979,27.70200,0.99450
1980,30.29500,13.70269
1981,78.70500,29.05071
1982,305.79999,67.52609
1983,60.55400,15.15793
1984,62.43200,18.37103
1985,157.70401,18.82524
1986,25.47200,9.69430
1987,318.85901,44.58026
1988,435.44901,95.27050
1989,54.99600,21.48850
1990,11.48000,1.14829
1991,557.84399,153.40123
1992,5.68600,9.67557
1993,36.70200,15.47111
1994,376.43900,57.47713
1995,64.16800,21.33388
1996,283.92499,18.55984
1997,10.13000,3.70425
1998,491.87299,103.05009
1999,94.08400,24.32776
2000,80.38500,6.67278
2001,6.53800,0.93217
2002,68.43300,26.41043
2003,242.64200,36.17405
2004,23.70600,9.59327
2005,30.80200,13.71494
2006,4.01200,0.30305
2007,365.94800,57.10569
2008,332.48801,51.10275
2009,157.23100,41.59319
2010,342.92099,81.34026
2011,474.89700,68.78622
2012,380.25702,64.11421
2013,167.44101,27.01043
2014,205.84601,70.51949
2015,31.15700,13.08593
2016,226.19299,33.52297
2017,145.63800,31.77034
2018,49.21600,16.43917
2019,104.10500,31.05276
2020,52.12100,17.09376
2021,587.80402,153.06453
2022,51.49400,12.48502
2023,,23.00845
