# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 230204, data version 5.0.
# time_generated : 2025-10-01 14:13:16
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,9.75119
1912,,3.46152
1913,,2.04247
1914,,0.20506
1915,,3.11548
1916,,24.48168
1917,,3.20794
1918,,2.07887
1919,,2.15482
1920,,2.83531
1921,,3.88162
1922,,2.10053
1923,,4.85488
1924,,6.81167
1925,,0.76784
1926,,0.56187
1927,,0.15582
1928,,2.09733
1929,,2.20491
1930,,10.16751
1931,,3.72112
1932,,7.04451
1933,3.75741,2.55454
1934,17.72905,6.69556
1935,20.86632,5.69852
1936,10.13576,7.16719
1937,4.65312,2.11989
1938,0.17616,0.19770
1939,12.06262,5.15704
1940,0.82905,1.20941
1941,6.56829,2.76345
1942,4.65312,3.32189
1943,0.41007,0.15183
1944,0.10197,0.14351
1945,1.12975,0.28780
1946,13.41898,3.38104
1947,4.07639,2.45048
1948,0.93403,0.47218
1949,10.75787,4.89542
1950,19.64699,5.98176
1951,16.47083,7.92585
1952,19.64699,10.30667
1953,16.52731,3.56759
1954,22.73079,9.48063
1955,12.06262,4.68638
1956,17.08681,6.63781
1957,8.32998,2.24685
1958,6.56829,2.82681
1959,1.30208,0.55956
1960,6.56829,6.62502
1961,1.12419,0.90084
1962,,2.42107
1963,11.42731,7.54625
1964,8.28437,5.31154
1965,16.98611,5.63084
1966,6.53800,3.08368
1967,0.80498,0.19371
1968,6.77199,3.83630
1969,2.84178,1.97518
1970,27.75370,5.93665
1971,26.46470,12.86211
1972,1.99363,2.06922
1973,13.23553,4.27208
1974,19.07546,8.42304
1975,14.94178,5.81217
1976,14.37662,5.18302
1977,12.02859,5.06415
1978,31.04826,7.11297
1979,4.47697,2.18120
1980,0.85741,0.80116
1981,7.77373,4.44906
1982,0.03866,0.20301
1983,49.93437,12.22023
1984,14.46262,5.09564
1985,32.13484,7.90311
1986,19.39600,5.61213
1987,31.86100,7.13612
1988,,3.18092
1989,52.91481,6.34500
1990,40.90752,4.89275
1991,3.01076,1.91076
1992,15.74711,4.11288
1993,72.66632,16.91974
1994,0.79074,0.66223
1995,13.60961,9.04098
1996,14.54896,3.48698
1997,1.14178,0.22858
1998,4.11065,1.68815
1999,1.10556,1.71850
2000,15.74711,8.90859
2001,0.59097,0.46922
2002,0.49039,0.22411
2003,1.52789,1.41429
2004,0.93044,1.78440
2005,18.27303,5.45470
2006,0.47037,0.13491
2007,1.10671,0.59103
2008,0.22326,0.35362
2009,0.26250,0.24824
2010,38.80208,11.17606
2011,50.90625,10.10339
2012,19.13727,6.13502
2013,,1.71995
2014,0.34653,0.18643
2015,0.19826,0.16807
2016,17.61863,8.86548
2017,0.72118,0.87782
2018,1.43426,0.34875
2019,,2.54872
2020,1.86794,2.06781
2021,27.31493,4.14584
2022,41.75463,10.19510
2023,6.95370,0.22112
