# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 210014, data version 5.0.
# time_generated : 2025-10-01 14:13:07
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,2.35206
1912,,16.24980
1913,,1.38241
1914,,1.59911
1915,,0.46530
1916,,4.91620
1917,,2.69497
1918,,0.24707
1919,,0.63445
1920,,12.90778
1921,,3.52316
1922,,0.81435
1923,,1.13335
1924,,2.51947
1925,,4.51062
1926,,12.17490
1927,,10.66958
1928,,9.86035
1929,,14.04538
1930,,15.46390
1931,,2.01642
1932,,0.25016
1933,,1.85933
1934,61.21913,0.76709
1935,,1.28878
1936,41.77506,0.48348
1937,47.17521,0.47799
1938,35.89179,0.35510
1939,0.56678,0.21892
1940,,0.36162
1941,146.99091,4.07242
1942,652.06134,8.78966
1943,89.77277,0.63057
1944,343.66718,8.03600
1945,622.53821,6.96964
1946,11.51686,0.35224
1947,43.60799,0.68419
1948,94.85084,9.78994
1949,29.42398,20.44696
1950,,17.94116
1951,,11.52344
1952,,3.92778
1953,,5.00339
1954,,31.49277
1955,,6.89309
1956,,1.94665
1957,,0.76129
1958,,0.55906
1959,23.47696,0.65225
1960,61.99738,1.02336
1961,215.53708,9.27117
1962,173.16043,9.80947
1963,101.04927,4.96723
1964,17.44698,0.64061
1965,5.48164,0.28617
1966,82.30473,5.68933
1967,179.16075,9.80785
1968,370.54190,7.40462
1969,13.92896,1.01569
1970,139.14432,16.55826
1971,147.19205,6.39482
1972,9.22578,0.79943
1973,,2.92735
1974,99.08787,1.04010
1975,95.10749,3.20025
1976,131.10062,4.34906
1977,806.43475,10.09133
1978,89.55972,6.11373
1979,1.95104,0.23590
1980,17.11539,0.43540
1981,22.72476,0.94698
1982,61.75578,0.65219
1983,183.91898,8.52174
1984,410.76663,9.40684
1985,131.48566,5.57503
1986,30.42285,0.49998
1987,162.04272,2.77502
1988,69.57676,2.40845
1989,347.02011,11.99789
1990,7.09547,0.47489
1991,25.45100,2.43368
1992,63.43795,1.84501
1993,10.99491,0.67371
1994,89.96304,1.08525
1995,115.58214,1.89080
1996,,1.01781
1997,664.85986,23.23958
1998,244.04379,5.28415
1999,72.91280,8.03123
2000,177.19019,6.34514
2001,5.67030,0.70304
2002,,2.50716
2003,23.76087,0.72939
2004,21.63500,0.47200
2005,27.62144,0.65296
2006,96.53500,4.08388
2007,171.57599,4.69807
2008,,4.65283
2009,72.57900,1.61613
2010,557.02698,22.54992
2011,,8.63200
2012,156.65500,5.73688
2013,74.85900,1.11597
2014,105.01700,0.91231
2015,54.52300,0.80429
2016,19.72400,0.39095
2017,17.44500,0.52974
2018,13.70600,0.63473
2019,,1.61368
2020,125.56200,8.32701
2021,252.17099,14.04167
2022,226.67900,5.61803
2023,0.49400,0.62665
