# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 401216, data version 5.0.
# time_generated : 2025-10-01 14:13:20
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,9.64830
1912,,25.25396
1913,,10.13797
1914,,9.63217
1915,,18.57879
1916,,19.02358
1917,,24.23302
1918,,16.26577
1919,,12.11398
1920,,18.48613
1921,,22.92896
1922,,8.65527
1923,,15.04224
1924,,23.25851
1925,,14.62244
1926,,15.28333
1927,,24.96119
1928,,10.74426
1929,,8.72342
1930,,11.89975
1931,,18.94260
1932,,19.91848
1933,,17.42746
1934,116.60104,24.52466
1935,54.00660,10.49912
1936,116.49699,18.57663
1937,29.14005,10.57836
1938,13.28912,5.04925
1939,169.84988,18.05256
1940,67.07940,5.71525
1941,69.34606,11.48740
1942,72.83785,20.70101
1943,41.33681,10.99270
1944,26.84630,6.32664
1945,41.63148,7.79079
1946,,22.93853
1947,112.58461,13.17420
1948,44.65648,7.90582
1949,150.52536,9.40619
1950,54.45729,8.81413
1951,85.03345,11.62809
1952,189.56331,22.59314
1953,117.43611,11.89560
1954,187.58911,13.20420
1955,119.22326,20.65458
1956,164.45833,17.92782
1957,70.57500,11.49122
1958,122.09711,16.88892
1959,103.68032,16.92455
1960,55.10544,17.65026
1961,49.44757,6.23230
1962,37.85289,8.90528
1963,41.04340,8.28872
1964,,30.16947
1965,48.42300,8.53140
1966,68.80127,9.17493
1967,63.22789,7.48810
1968,148.20949,18.65116
1969,76.18333,10.07468
1970,74.74479,25.24312
1971,104.92211,26.18783
1972,,9.25239
1973,80.61030,12.18359
1974,171.88321,25.82806
1975,216.93681,17.96276
1976,83.05833,9.17933
1977,36.80937,6.54911
1978,83.30799,12.69414
1979,65.66875,10.36175
1980,52.87014,11.41649
1981,108.45856,25.36677
1982,40.40301,8.67348
1983,116.19468,14.71319
1984,83.71319,17.25365
1985,43.30509,14.53984
1986,83.00162,18.06987
1987,47.19537,9.72156
1988,62.27928,18.03002
1989,63.53681,8.74354
1990,126.98519,11.61028
1991,,15.08754
1992,102.64769,12.89531
1993,171.18414,25.10967
1994,31.33530,9.27462
1995,,25.81785
1996,96.88044,16.93046
1997,27.61169,9.35321
1998,288.58185,31.98240
1999,64.94213,11.06563
2000,110.86181,12.03435
2001,54.68102,11.45264
2002,37.64606,8.11312
2003,99.83669,15.31625
2004,71.34699,9.52345
2005,172.70197,16.37170
2006,12.43912,4.16018
2007,24.84525,7.22517
2008,42.57234,4.78122
2009,45.38657,7.35484
2010,184.89456,19.15362
2011,96.75486,16.17654
2012,145.96806,23.71482
2013,73.60382,19.80783
2014,44.01146,11.10039
2015,32.65671,12.28076
2016,125.56007,24.05634
2017,80.98229,19.86760
2018,22.25926,8.65528
2019,67.84560,14.45348
2020,110.15741,23.61176
2021,74.43565,13.78272
2022,77.97778,18.97696
2023,129.20914,23.01156
