# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 226204, data version 5.0.
# time_generated : 2025-10-01 14:13:15
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,17.97089
1912,,11.50561
1913,,10.43342
1914,,12.57053
1915,,6.61633
1916,,19.55016
1917,,11.20949
1918,,12.91940
1919,,9.03405
1920,,9.14642
1921,,12.28141
1922,,8.13320
1923,,16.36202
1924,,12.99174
1925,,5.90588
1926,,6.64794
1927,,11.61059
1928,,7.57889
1929,,6.10318
1930,38.31458,10.93292
1931,29.87280,10.09251
1932,39.80336,10.36280
1933,46.37639,9.10277
1934,449.07812,51.06312
1935,111.36470,17.29299
1936,41.34109,8.20499
1937,147.43600,22.98242
1938,17.60741,4.72042
1939,48.12731,11.04737
1940,39.93495,7.88199
1941,81.81389,9.63027
1942,26.95417,8.13651
1943,23.49711,6.20985
1944,45.29630,20.76044
1945,15.06493,6.57470
1946,28.58646,9.04611
1947,42.52488,13.54627
1948,30.32245,6.90210
1949,39.09769,9.75572
1950,21.47431,5.92077
1951,135.88889,12.17174
1952,147.43600,20.96531
1953,195.96631,17.15499
1954,105.76343,13.15580
1955,41.04977,9.62060
1956,54.35845,11.13054
1957,39.70613,13.63953
1958,35.81134,8.82380
1959,129.39491,23.32327
1960,81.81389,16.89585
1961,34.61227,7.51582
1962,39.70613,10.74016
1963,47.29363,9.77905
1964,28.56771,11.05369
1965,15.75937,6.96890
1966,22.28472,9.73630
1967,12.71655,5.65062
1968,29.65579,9.63962
1969,80.86319,15.88865
1970,48.88993,10.80557
1971,158.72464,20.67235
1972,17.12465,4.72705
1973,27.29259,7.16819
1974,38.80150,10.23927
1975,41.20718,9.37334
1976,46.13623,9.70235
1977,62.94271,15.91901
1978,72.86979,11.15484
1979,21.94838,7.30079
1980,40.75127,11.78195
1981,34.08287,9.88356
1982,,3.96261
1983,72.44722,9.35858
1984,83.45775,13.91322
1985,49.24398,8.21143
1986,40.62743,8.96431
1987,42.54815,6.99862
1988,27.27951,6.87972
1989,47.38113,10.47917
1990,113.59815,13.69702
1991,32.97176,9.55594
1992,69.14514,10.13660
1993,196.76447,18.17502
1994,25.08831,7.40896
1995,122.41944,10.59357
1996,43.50521,9.66073
1997,9.44329,3.06316
1998,26.10856,6.56797
1999,14.76169,5.34370
2000,11.80162,8.47328
2001,23.17523,10.07439
2002,11.26238,4.22595
2003,29.60694,9.71364
2004,34.49734,9.66440
2005,96.33102,11.54076
2006,7.34803,3.18863
2007,44.41759,7.72587
2008,23.07569,6.53711
2009,31.63287,15.72565
2010,18.18669,8.06362
2011,56.19225,10.50821
2012,69.15000,10.14482
2013,29.43275,6.69385
2014,22.23877,7.99088
2015,27.39375,8.84659
2016,18.49595,5.90712
2017,15.90428,6.88130
2018,15.49769,6.84302
2019,31.45440,15.00185
2020,26.41713,11.26135
2021,150.39572,24.88038
2022,48.37512,11.48215
2023,99.33067,17.98981
