# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 222202, data version 5.0.
# time_generated : 2025-10-01 14:13:12
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,14.68625
1912,,2.36250
1913,,7.01150
1914,,2.04827
1915,,2.41220
1916,,3.84167
1917,,0.66734
1918,,1.40214
1919,,28.99335
1920,,16.57330
1921,,1.13129
1922,43.08681,1.60824
1923,36.98414,1.43101
1924,5.96667,1.26393
1925,420.09247,31.05062
1926,10.23241,0.91942
1927,40.45880,5.74504
1928,169.85855,10.35908
1929,27.65833,1.56925
1930,115.13646,3.19481
1931,17.82269,1.87681
1932,,23.70532
1933,,8.98468
1934,,12.22924
1935,,27.46955
1936,,5.50197
1937,,1.41905
1938,,32.98875
1939,,1.26261
1940,,1.11781
1941,,2.61404
1942,,10.11683
1943,,4.93422
1944,,2.93591
1945,,2.20237
1946,,6.76483
1947,42.63889,4.27585
1948,195.24387,17.34494
1949,235.85648,13.10696
1950,,10.08717
1951,181.18518,10.16664
1952,199.58633,22.75688
1953,55.10208,3.58550
1954,68.11319,5.67689
1955,6.74664,1.18888
1956,137.85475,12.29132
1957,169.83762,8.93230
1958,13.97095,1.43762
1959,256.20718,15.78562
1960,408.98438,14.32229
1961,105.38056,10.32814
1962,55.97627,4.31844
1963,79.86887,8.81397
1964,7.52697,1.35979
1965,133.47141,2.87684
1966,289.94305,16.42445
1967,16.34167,1.28573
1968,78.29329,3.46197
1969,231.88287,17.58011
1970,,8.74100
1971,287.10071,18.77144
1972,14.23773,1.02397
1973,133.76550,5.46307
1974,386.89398,17.94736
1975,96.48692,6.72671
1976,70.13484,3.77829
1977,318.12421,11.37386
1978,406.37985,22.45657
1979,7.42130,0.82408
1980,109.82176,1.89592
1981,143.40498,5.71217
1982,17.74711,0.85077
1983,196.16493,10.10046
1984,336.92316,14.46433
1985,434.45648,22.02768
1986,16.49861,1.25153
1987,20.81933,1.45870
1988,374.86655,18.74496
1989,91.12049,8.67810
1990,106.88079,6.76986
1991,151.04456,9.41844
1992,55.48206,6.06920
1993,132.74582,5.05506
1994,66.97581,4.41744
1995,135.06494,8.59403
1996,15.49410,1.56641
1997,13.91667,0.93725
1998,790.56830,35.82633
1999,21.00139,1.28492
2000,13.51435,1.13292
2001,160.65207,7.53153
2002,249.06100,8.59275
2003,3.54306,0.53772
2004,26.87789,0.98765
2005,40.90046,3.74107
2006,47.66366,4.95735
2007,275.57129,21.70173
2008,178.14966,2.79369
2009,16.28935,2.81635
2010,26.19120,1.45075
2011,250.71262,10.78685
2012,403.43866,16.67713
2013,252.00510,20.31393
2014,356.17651,10.21749
2015,206.27188,6.34601
2016,337.53726,15.10884
2017,7.27141,0.76449
2018,21.10185,1.08858
2019,13.88310,0.88482
2020,206.01724,7.40438
2021,110.70266,7.24363
2022,289.81390,13.52738
2023,104.07049,8.55490
