# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 143303, data version 5.0.
# time_generated : 2025-10-01 14:13:02
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,38.03729
1912,,36.19099
1913,,35.26945
1914,,66.61567
1915,,27.89123
1916,,46.75989
1917,,31.61292
1918,,28.10028
1919,,23.57504
1920,,45.43974
1921,,41.58953
1922,,24.25828
1923,,24.64996
1924,,43.51700
1925,,21.62958
1926,,75.01013
1927,287.24500,68.63155
1928,216.02200,33.67993
1929,376.72198,44.61402
1930,622.79401,123.87295
1931,53.04000,14.75192
1932,195.56400,21.65005
1933,184.83800,34.10339
1934,127.16300,27.82440
1935,77.34100,28.20765
1936,174.69200,38.00541
1937,271.47501,55.34585
1938,73.87000,29.31177
1939,120.97300,26.64673
1940,87.18700,21.77542
1941,268.66199,21.79813
1942,121.13000,26.09011
1943,117.95200,42.46883
1944,31.64000,12.03754
1945,495.67999,67.96690
1946,375.53198,54.14278
1947,170.52899,53.14040
1948,119.56200,36.64662
1949,278.69901,75.74977
1950,404.67401,95.29276
1951,24.59600,12.16771
1952,495.67999,107.88824
1953,128.20999,38.63377
1954,642.37598,95.09279
1955,290.20599,63.29320
1956,19.65400,6.69449
1957,278.69901,66.56809
1958,178.51199,33.68924
1959,88.31300,38.63914
1960,60.94700,15.01001
1961,86.03000,19.85940
1962,375.53198,87.07310
1963,294.57501,47.05494
1964,32.50000,3.70652
1965,155.27600,24.69897
1966,312.69699,51.34894
1967,480.54700,73.10556
1968,43.60300,13.51858
1969,111.30600,40.59658
1970,244.96300,51.69383
1971,586.10803,98.49666
1972,160.92801,34.19463
1973,358.21802,111.81312
1974,111.84500,24.75488
1975,153.27499,39.90480
1976,118.99900,11.33998
1977,51.83700,15.30943
1978,55.78700,23.17942
1979,54.11300,26.91447
1980,64.51100,23.93460
1981,296.09100,69.00581
1982,314.28198,59.46228
1983,103.42000,21.53664
1984,194.20500,25.29100
1985,150.63400,24.02347
1986,42.49500,4.92839
1987,439.30402,56.85486
1988,443.39398,98.93748
1989,165.96500,55.37756
1990,,3.66774
1991,411.46100,101.89677
1992,,11.50899
1993,111.94900,22.49039
1994,277.14999,54.43704
1995,285.31400,48.82457
1996,77.05800,5.13242
1997,23.51200,9.07498
1998,710.27802,103.45671
1999,156.28700,19.88120
2000,126.54500,16.85853
2001,64.94000,2.74103
2002,168.28700,36.71479
2003,290.16800,33.21935
2004,44.40600,13.07624
2005,39.61100,15.11441
2006,19.42000,1.95796
2007,146.96899,33.67390
2008,193.51100,40.36388
2009,168.39200,42.04633
2010,478.88800,118.23376
2011,281.16000,48.19130
2012,374.63599,75.79030
2013,78.09200,16.92683
2014,439.93701,76.16023
2015,159.42300,20.93482
2016,184.46201,30.09155
2017,58.62300,18.89402
2018,73.26700,17.44610
2019,134.01900,32.80244
2020,227.15201,28.21787
2021,419.51099,145.43762
2022,114.60200,18.16864
2023,,27.41773
