# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 210022, data version 5.0.
# time_generated : 2025-10-01 14:13:07
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,8.89351
1912,,36.61728
1913,,12.87734
1914,,13.36704
1915,,1.32735
1916,,5.74742
1917,,4.79494
1918,,1.12311
1919,,0.96757
1920,,12.84119
1921,,11.88872
1922,,7.43572
1923,,4.51333
1924,,6.83541
1925,,19.83957
1926,,24.65979
1927,,6.56188
1928,,22.55842
1929,,35.75054
1930,,30.83657
1931,,6.40585
1932,,6.04842
1933,,3.14097
1934,,7.08017
1935,,11.02491
1936,,2.67177
1937,,1.10659
1938,,10.16721
1939,,0.67970
1940,83.81681,0.91618
1941,35.55875,3.72693
1942,233.33333,17.35573
1943,39.36203,1.05382
1944,260.99893,18.26925
1945,304.68750,37.37761
1946,61.91034,1.14984
1947,,3.22694
1948,89.38008,8.44111
1949,191.13426,29.54098
1950,292.68918,34.53093
1951,,3.07280
1952,165.62331,20.88086
1953,237.86935,25.32367
1954,146.28690,43.73690
1955,281.74768,21.58936
1956,234.67172,7.79356
1957,31.92096,1.13894
1958,182.72293,3.63255
1959,66.82888,4.82006
1960,41.34108,1.46514
1961,218.42477,21.93726
1962,277.46448,36.97312
1963,68.12740,8.44971
1964,,0.95453
1965,24.50255,2.00461
1966,71.40204,13.23594
1967,206.81400,25.98947
1968,185.81857,18.96459
1969,75.15797,3.72969
1970,176.78743,36.06611
1971,283.47308,32.61779
1972,84.73133,10.96305
1973,326.78900,18.54121
1974,,5.85384
1975,284.19223,22.59289
1976,541.77325,26.64160
1977,695.52014,52.28320
1978,144.15869,15.15264
1979,22.19749,0.60863
1980,138.87421,0.94978
1981,,9.32096
1982,119.24005,7.45758
1983,108.21666,8.40853
1984,288.26822,24.78757
1985,259.40967,7.14212
1986,59.81191,1.76015
1987,202.39337,15.77645
1988,268.69800,7.66505
1989,662.04193,42.21437
1990,138.27759,4.17636
1991,,8.32225
1992,124.97245,2.84759
1993,73.42593,1.12215
1994,323.72687,17.75619
1995,89.35648,7.08335
1996,71.70473,3.16214
1997,219.64795,20.57919
1998,125.13303,9.32761
1999,321.87769,20.24757
2000,310.72293,38.57135
2001,101.62133,2.60797
2002,164.19955,4.39487
2003,284.83713,8.82919
2004,149.04500,8.69160
2005,20.83700,1.55757
2006,442.51300,10.55540
2007,379.90601,17.68019
2008,290.01898,17.35526
2009,93.91100,5.01626
2010,371.86798,41.32745
2011,197.59799,13.33397
2012,468.11499,39.32455
2013,79.20800,2.01257
2014,317.30701,14.60004
2015,166.11900,21.46562
2016,86.24300,10.78819
2017,133.22501,14.08572
2018,46.95400,1.35949
2019,101.69500,2.18881
2020,442.49298,35.03180
2021,447.50500,32.22590
2022,115.21400,9.70571
2023,39.34500,1.46699
