# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 410024, data version 5.0.
# time_generated : 2025-10-01 14:13:23
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,3.31079
1912,,7.31827
1913,,1.73737
1914,2.53657,1.42716
1915,,15.50589
1916,72.92388,13.71732
1917,71.24991,11.41615
1918,,11.53378
1919,9.97905,1.89359
1920,61.40338,11.43083
1921,66.47199,10.68753
1922,46.20449,25.74744
1923,68.31234,10.36163
1924,110.53539,10.82469
1925,,24.78701
1926,93.88199,5.34984
1927,65.25740,4.43441
1928,79.03735,6.14499
1929,49.22285,2.32027
1930,88.14502,5.70171
1931,465.47437,25.88928
1932,86.37828,6.43604
1933,86.37828,8.65078
1934,327.26584,16.78972
1935,66.79682,4.93096
1936,88.14502,13.79473
1937,62.02899,6.70843
1938,38.51826,3.57204
1939,158.28427,17.94389
1940,25.18360,2.76324
1941,124.51264,11.07787
1942,217.07950,14.63591
1943,45.60799,4.97584
1944,20.93792,1.88763
1945,55.60037,2.85940
1946,101.69589,9.60175
1947,104.67310,9.10952
1948,87.86877,4.12365
1949,54.55580,4.90889
1950,497.58224,30.18420
1951,106.99061,6.21411
1952,293.72400,18.59538
1953,100.34201,7.20261
1954,30.29429,3.87186
1955,353.62628,11.80569
1956,321.32172,17.64292
1957,17.73993,2.35244
1958,202.33810,9.01167
1959,137.28183,10.47579
1960,181.30988,15.59391
1961,146.32645,11.84707
1962,56.23215,5.39190
1963,54.58750,3.50922
1964,245.78101,18.09482
1965,41.17704,2.57338
1966,134.67560,7.79106
1967,12.64036,1.55525
1968,,9.59282
1969,153.51807,13.75393
1970,295.25409,16.17754
1971,128.00041,10.41326
1972,68.09035,3.44560
1973,107.16358,7.97207
1974,471.52026,33.88437
1975,377.90460,19.14502
1976,151.99878,11.25892
1977,77.31175,3.77422
1978,111.52799,8.70560
1979,45.85815,2.15041
1980,55.80895,3.48784
1981,276.52313,21.38493
1982,12.89444,1.46894
1983,198.32367,9.74173
1984,352.00494,12.96573
1985,97.83212,7.63179
1986,132.98186,9.26311
1987,59.89134,5.04951
1988,238.13728,12.66264
1989,146.14517,11.26707
1990,133.42725,9.94755
1991,74.12954,14.04687
1992,115.47920,8.43139
1993,272.96948,9.82150
1994,28.14163,2.12578
1995,150.65948,11.98599
1996,177.12964,13.26462
1997,58.11219,3.73524
1998,112.83589,9.92145
1999,94.62062,8.04932
2000,111.02738,7.89597
2001,37.44044,2.92480
2002,49.81748,3.48575
2003,195.08205,10.25838
2004,56.09919,4.04009
2005,114.86595,6.98188
2006,8.23045,0.94741
2007,108.74198,3.25771
2008,99.60249,1.52120
2009,21.01838,1.86753
2010,502.03601,17.89999
2011,262.90045,9.33602
2012,1092.60645,38.39563
2013,79.83336,5.20538
2014,68.82765,6.17531
2015,62.00038,2.27856
2016,178.37799,12.49221
2017,90.06312,9.75995
2018,22.32878,2.58363
2019,20.86623,0.98561
2020,94.66700,6.92672
2021,143.50470,9.79383
2022,318.48407,15.77937
2023,35.96748,3.88320
