# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 410061, data version 5.0.
# time_generated : 2025-10-01 14:13:28
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,3.52390
1912,,5.55942
1913,,2.67549
1914,,1.16753
1915,,10.74815
1916,,20.25922
1917,,15.56475
1918,,10.04908
1919,,2.00132
1920,,14.67416
1921,,12.39902
1922,,8.08499
1923,,18.18342
1924,,11.42912
1925,,6.56507
1926,,12.62403
1927,,4.69093
1928,,2.82055
1929,,1.58472
1930,,6.51193
1931,,25.38397
1932,,13.94726
1933,,9.50304
1934,,12.54852
1935,,12.31872
1936,,10.74254
1937,,4.30194
1938,,0.79011
1939,,20.01234
1940,,1.09667
1941,,11.77412
1942,,13.04382
1943,,3.39105
1944,,0.90856
1945,,4.27069
1946,,9.23183
1947,155.78601,8.36319
1948,,2.91362
1949,90.88595,7.62861
1950,69.98259,9.84328
1951,48.44515,9.77626
1952,89.40608,10.60867
1953,39.05773,6.43376
1954,24.88360,3.17225
1955,122.37914,13.49028
1956,,17.97992
1957,3.36218,1.27168
1958,53.78139,11.50750
1959,,4.12444
1960,100.12175,16.50786
1961,30.14891,4.86636
1962,9.17280,2.69956
1963,29.45520,5.65552
1964,48.44515,17.49507
1965,5.25829,1.57058
1966,61.05275,7.46641
1967,1.11578,0.60035
1968,42.41769,16.82354
1969,79.37035,11.22047
1970,95.74007,17.44811
1971,,8.21910
1972,44.55995,3.42023
1973,40.57240,10.67528
1974,147.22275,13.76043
1975,129.82733,19.38511
1976,43.14573,6.32463
1977,40.11407,6.81674
1978,35.05742,8.44427
1979,40.99216,4.04315
1980,21.04249,6.93729
1981,68.54507,20.55616
1982,2.38961,0.98843
1983,112.93946,18.70487
1984,212.43155,14.46660
1985,32.72600,6.31574
1986,69.28046,13.09116
1987,43.77409,12.89278
1988,98.23385,12.17175
1989,52.04963,8.72295
1990,59.32647,13.00422
1991,11.33513,6.55422
1992,65.93650,12.21680
1993,108.51682,13.42205
1994,15.43738,1.30287
1995,76.73838,15.41318
1996,37.82291,9.43770
1997,14.40909,3.99531
1998,42.82900,8.60718
1999,,8.47949
2000,88.81245,11.96087
2001,20.32126,3.08849
2002,10.93550,2.85736
2003,38.23111,10.52394
2004,15.01088,5.72545
2005,62.13692,11.10917
2006,1.08904,0.63740
2007,5.47132,6.30514
2008,7.00135,5.77237
2009,4.06941,2.62180
2010,382.80716,23.41661
2011,48.73793,8.69922
2012,162.63922,33.89959
2013,9.12068,4.51008
2014,14.70532,6.29241
2015,,4.08367
2016,71.58139,15.05133
2017,31.57809,6.38596
2018,10.38000,1.69777
2019,3.63963,0.87323
2020,33.69922,4.92606
2021,86.40591,11.54470
2022,384.48358,14.50508
2023,17.92610,2.24864
