# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 412028, data version 5.0.
# time_generated : 2025-10-01 14:13:30
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,1.18814
1912,,1.01687
1913,,0.96856
1914,,1.58562
1915,,1.06805
1916,,13.02086
1917,,2.78725
1918,,0.89963
1919,,0.47879
1920,,2.19204
1921,,0.78894
1922,,4.12833
1923,,2.44983
1924,,0.98384
1925,,3.77312
1926,,1.56041
1927,,0.68462
1928,,1.48950
1929,,0.67478
1930,5.22730,0.41787
1931,622.01453,2.33232
1932,40.47205,0.66756
1933,70.69429,0.58947
1934,184.52271,1.32960
1935,117.91270,1.34156
1936,260.56982,1.10767
1937,27.45810,0.41539
1938,302.46613,1.53925
1939,199.89752,0.69435
1940,9.94484,0.31639
1941,83.82205,0.54829
1942,162.82968,1.47245
1943,2528.64478,10.58412
1944,3.06565,0.33242
1945,205.49734,1.27163
1946,14.88855,0.48624
1947,217.60370,1.93958
1948,102.76073,1.40576
1949,244.17395,1.37438
1950,807.09094,9.01475
1951,704.00476,2.95858
1952,1530.05078,10.82962
1953,185.31229,3.09766
1954,103.58164,1.37985
1955,277.28778,2.38458
1956,250.81964,5.17969
1957,33.84300,0.86185
1958,244.28795,1.09252
1959,409.06372,1.66325
1960,666.21735,3.48223
1961,1416.26453,8.30249
1962,228.52844,3.25992
1963,1352.46472,4.06942
1964,645.15039,2.36638
1965,195.59865,1.18429
1966,442.79144,3.05958
1967,963.25793,2.45921
1968,251.99223,1.14877
1969,298.20316,2.29159
1970,70.42847,0.86199
1971,205.95142,1.69564
1972,156.53757,2.18520
1973,206.77139,1.18396
1974,557.86517,3.33891
1975,1655.25378,4.44712
1976,825.03186,3.92217
1977,63.64400,0.76219
1978,912.05151,3.95162
1979,10.55008,0.44526
1980,25.42573,0.54317
1981,185.18518,0.84078
1982,6.62897,0.31403
1983,142.02155,1.95342
1984,806.82275,3.99706
1985,183.69067,1.02648
1986,715.24426,2.81049
1987,103.60667,0.62825
1988,609.92432,1.68058
1989,199.46181,2.44628
1990,1745.97021,8.76867
1991,245.26117,0.93187
1992,314.13223,3.12732
1993,137.65744,0.98573
1994,46.41372,0.66133
1995,912.53864,1.81717
1996,808.91138,2.93281
1997,84.03818,1.45160
1998,1106.89270,6.71768
1999,608.23541,2.49047
2000,121.31628,1.41095
2001,87.68765,0.83676
2002,78.05491,0.82609
2003,26.51176,0.53916
2004,58.71323,0.28580
2005,327.35376,0.56532
2006,413.01685,1.89265
2007,,0.77280
2008,39.97200,0.70882
2009,12.84800,0.45728
2010,552.61700,3.33616
2011,20.93416,0.47033
2012,490.02350,9.67309
2013,178.30791,1.70499
2014,127.65200,0.71614
2015,,0.86424
2016,,2.48645
2017,,0.53361
2018,,0.73735
2019,,0.39068
2020,,2.25244
2021,,5.72596
2022,,6.69122
2023,,1.28854
