# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 208007, data version 5.0.
# time_generated : 2025-10-01 14:13:06
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,8.59299
1912,,25.41697
1913,,5.25459
1914,,8.42108
1915,,1.58062
1916,,12.26314
1917,,9.38247
1918,,0.12651
1919,,3.00774
1920,,16.00104
1921,,8.55897
1922,,2.12595
1923,,3.73029
1924,,9.06022
1925,,5.71571
1926,,4.09918
1927,,8.47284
1928,,10.98376
1929,,21.68192
1930,,9.16532
1931,,6.61503
1932,,5.40693
1933,,12.09291
1934,,8.90453
1935,,5.88362
1936,,4.17276
1937,,2.64643
1938,,1.89131
1939,,0.72178
1940,,3.41703
1941,,1.38823
1942,,6.28265
1943,,6.57393
1944,,5.55331
1945,,3.70148
1946,23.78588,0.18735
1947,63.53229,10.31639
1948,275.20142,12.85034
1949,197.99260,23.16018
1950,111.92905,7.95517
1951,113.26736,17.48479
1952,,2.98672
1953,93.44560,0.23330
1954,103.10777,14.42194
1955,319.52045,10.99832
1956,18.38628,1.88479
1957,,0.18307
1958,27.29582,3.58206
1959,133.21310,10.39120
1960,,7.31202
1961,93.44560,13.87939
1962,113.26736,22.19912
1963,20.80997,8.33421
1964,20.95279,0.73872
1965,7.07870,0.20460
1966,65.12847,6.06422
1967,65.12847,18.14266
1968,22.80681,4.23013
1969,14.49818,6.54471
1970,84.37175,11.05628
1971,33.35795,7.33010
1972,48.87712,9.88025
1973,122.01675,24.14769
1974,21.21568,6.06129
1975,133.24933,15.35069
1976,90.97185,19.12087
1977,181.70197,18.29399
1978,40.00780,8.54820
1979,36.99301,1.58379
1980,14.38289,0.25382
1981,24.00601,5.85604
1982,61.02046,5.26637
1983,140.98120,15.88920
1984,137.18283,21.53438
1985,57.94611,12.17682
1986,21.00144,6.41715
1987,46.93600,8.33450
1988,59.11764,10.57402
1989,88.52336,22.68159
1990,4.37700,7.38674
1991,44.72764,9.33519
1992,,3.46416
1993,8.49588,9.44477
1994,64.93896,8.85768
1995,65.82473,13.36223
1996,28.15955,8.99552
1997,23.98576,6.07713
1998,74.35722,8.71606
1999,14.20052,5.77359
2000,225.63434,25.39224
2001,5.55953,1.03597
2002,12.55307,0.49452
2003,33.22916,6.07421
2004,10.74204,2.80066
2005,23.86633,4.19106
2006,19.29179,3.41747
2007,95.15672,9.87945
2008,102.69182,16.27480
2009,,3.79549
2010,305.87924,25.24799
2011,217.73962,19.62450
2012,134.15036,18.39288
2013,12.57468,0.23942
2014,12.34214,1.96943
2015,14.67256,3.99666
2016,16.51132,6.90574
2017,27.08594,0.39594
2018,3.84948,0.09763
2019,48.90225,9.75432
2020,217.07405,21.78675
2021,132.12149,12.74672
2022,27.32443,7.24054
2023,,0.86297
