# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 235202, data version 5.0.
# time_generated : 2025-10-01 14:13:17
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,15.97719
1912,,21.87330
1913,,11.61926
1914,,15.47027
1915,,19.94020
1916,,18.18704
1917,,15.28904
1918,,13.51179
1919,,21.23380
1920,,15.87332
1921,,14.08456
1922,,14.67112
1923,,19.64874
1924,,10.28691
1925,,21.33832
1926,,14.47507
1927,,11.34714
1928,,16.17978
1929,,16.97041
1930,,13.22186
1931,,17.03031
1932,,32.04800
1933,,17.65261
1934,,14.78792
1935,,16.08244
1936,,18.55432
1937,,11.41551
1938,,10.79986
1939,,18.75238
1940,,9.36570
1941,,11.63718
1942,,12.73708
1943,,15.12336
1944,,15.43497
1945,,9.09118
1946,,21.27514
1947,,12.73074
1948,,10.17234
1949,21.23264,19.57054
1950,9.81736,12.70078
1951,61.71644,33.97702
1952,174.41864,36.83249
1953,116.28611,21.80314
1954,28.44664,10.41729
1955,22.59329,16.74646
1956,31.37697,15.75822
1957,31.07535,16.20957
1958,21.80475,19.98740
1959,32.19398,10.48584
1960,80.57778,26.31000
1961,29.96806,13.05458
1962,6.83773,10.22171
1963,44.87280,16.33498
1964,36.21701,19.45406
1965,12.91528,12.18971
1966,22.84086,20.82056
1967,4.90127,8.01577
1968,13.73808,18.33936
1969,11.54468,11.18066
1970,124.91701,17.67051
1971,38.07535,17.16089
1972,23.62373,12.54969
1973,90.63194,12.60269
1974,25.72512,18.48829
1975,24.86632,13.36807
1976,90.56562,22.81579
1977,16.79502,20.13403
1978,108.95359,44.38923
1979,16.38657,15.96750
1980,29.63056,20.45504
1981,8.17477,13.61984
1982,7.46308,7.18172
1983,73.99595,11.45783
1984,83.20845,23.37239
1985,82.32870,13.14307
1986,13.25440,15.50531
1987,74.80336,13.65319
1988,49.19062,13.01653
1989,18.08310,10.57036
1990,33.09595,19.94247
1991,23.55046,15.43410
1992,16.78495,14.33362
1993,60.43009,20.93893
1994,17.31597,12.32330
1995,91.92488,33.96703
1996,34.34745,18.56607
1997,8.59549,9.26048
1998,54.84456,9.59204
1999,6.16262,10.54630
2000,11.37130,13.29341
2001,60.39861,29.06420
2002,24.27095,13.59230
2003,32.15671,13.48527
2004,28.72616,15.27252
2005,156.46320,20.30210
2006,27.67500,15.40768
2007,86.38692,25.55245
2008,27.23958,20.67568
2009,,13.25200
2010,61.84826,30.30098
2011,20.28241,15.98107
2012,84.57488,33.88566
2013,20.01562,19.09548
2014,7.17743,17.97993
2015,6.48032,11.14329
2016,19.55637,13.45646
2017,10.38322,13.58873
2018,10.22014,20.73434
2019,11.55000,14.68748
2020,15.63194,18.00084
2021,50.40069,28.82124
2022,21.74051,15.16201
2023,12.30660,20.02573
