# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 110003, data version 5.0.
# time_generated : 2025-10-01 14:12:55
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,13.05273
1912,,150.40680
1913,,21.90511
1914,,0.53327
1915,,13.40859
1916,,26.81760
1917,,36.73001
1918,,9.10806
1919,,27.50514
1920,,64.95268
1921,,58.19007
1922,,26.56235
1923,,17.56841
1924,,24.74952
1925,38.94039,29.72220
1926,356.29654,74.98771
1927,58.05683,34.18293
1928,101.33287,55.89166
1929,135.51134,58.42600
1930,34.06933,21.09662
1931,92.17558,38.15649
1932,88.42130,43.88914
1933,276.86862,82.13046
1934,224.25012,79.23511
1935,51.71331,31.59115
1936,42.68171,27.24695
1937,65.89896,43.41147
1938,294.28427,78.02469
1939,105.43079,57.68415
1940,71.70081,36.44196
1941,40.36493,23.94078
1942,102.82419,32.73173
1943,33.95162,10.68433
1944,281.77649,66.06274
1945,150.53506,51.93851
1946,15.79873,20.03226
1947,42.66748,25.44602
1948,206.46678,47.00380
1949,146.97604,49.36508
1950,159.67975,48.21469
1951,22.38796,19.77415
1952,87.43495,30.37208
1953,79.67824,30.79397
1954,90.76574,49.75452
1955,40.36493,23.23708
1956,175.05995,39.46939
1957,112.89942,46.64071
1958,89.48657,25.00749
1959,46.69444,25.19873
1960,25.37303,17.08777
1961,10.20058,8.26057
1962,126.78102,35.25017
1963,128.38934,46.40017
1964,51.84780,24.65530
1965,8.00000,5.81681
1966,1088.10986,143.80835
1967,353.44446,46.11493
1968,24.93171,24.23256
1969,13.59016,18.75152
1970,67.09838,32.40701
1971,124.65509,45.18716
1972,128.88252,54.98173
1973,291.75543,63.63932
1974,38.71493,26.04666
1975,46.39028,21.06834
1976,465.40775,92.62317
1977,10.15498,3.37294
1978,264.83484,97.41000
1979,65.44711,25.26800
1980,45.58345,30.34475
1981,44.78542,29.20713
1982,38.71493,20.97823
1983,16.84155,12.08031
1984,80.50440,25.82785
1985,145.11296,51.90818
1986,9.75197,9.72632
1987,37.28310,23.70330
1988,156.08009,36.25360
1989,148.19189,46.81584
1990,159.48137,49.86592
1991,9.94109,7.67618
1992,3.80208,3.32838
1993,13.52037,14.81349
1994,60.11574,38.10074
1995,62.08588,39.04169
1996,195.33136,83.35476
1997,50.36250,29.19196
1998,533.30750,108.52077
1999,359.72223,69.95805
2000,94.65706,35.16396
2001,16.99236,3.28172
2002,19.77558,19.11697
2003,176.38992,60.12794
2004,20.91644,20.62229
2005,189.75394,57.40518
2006,37.62593,22.35028
2007,311.92706,69.02386
2008,71.99201,37.95604
2009,68.39294,37.18699
2010,201.36679,53.68959
2011,70.68218,24.20090
2012,34.97500,18.63717
2013,199.44421,61.13499
2014,196.27420,37.14698
2015,,11.40969
2016,17.21262,31.80726
2017,232.48009,72.60630
2018,55.18831,29.14501
2019,13.50600,13.61490
2020,43.58229,26.14014
2021,34.20903,27.07924
2022,49.67222,21.49479
2023,,70.48502
