# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 138001, data version 5.0.
# time_generated : 2025-10-01 14:12:59
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,527.38672,8.81816
1912,687.29144,13.15455
1913,466.55521,7.29896
1914,1055.81165,22.63584
1915,71.93704,1.27769
1916,324.24561,9.63890
1917,889.42743,11.72756
1918,298.33691,6.34810
1919,548.53735,9.70733
1920,1080.45471,19.13842
1921,1350.93298,22.06529
1922,186.13171,4.24675
1923,188.44272,4.31517
1924,1396.33618,19.23873
1925,191.43427,3.26236
1926,2738.92554,37.55781
1927,3770.36694,41.46810
1928,1548.83838,26.73705
1929,1013.12439,13.76604
1930,3352.81616,48.39869
1931,133.65833,1.85700
1932,,2.19783
1933,1432.37939,20.77243
1934,387.47339,9.61074
1935,429.61365,9.04603
1936,2799.11890,32.32335
1937,1237.76086,18.28625
1938,521.26819,8.46975
1939,514.57117,7.44875
1940,1088.93274,14.37479
1941,926.83301,10.68727
1942,235.48125,4.85938
1943,1067.21680,19.70457
1944,268.34225,3.48322
1945,1490.29053,23.47838
1946,2883.51123,37.79510
1947,2060.18896,35.93917
1948,1636.57690,24.49578
1949,3189.92407,43.22479
1950,3207.51416,38.99007
1951,201.76749,4.93343
1952,2208.27246,33.78646
1953,1921.30371,23.89433
1954,8651.07617,69.97636
1955,4003.72974,43.52180
1956,1428.49915,11.05074
1957,2550.22510,29.56237
1958,1350.71094,21.90093
1959,1381.03845,16.56441
1960,387.95499,4.34744
1961,464.74072,6.87307
1962,2265.90430,30.42900
1963,741.36224,10.79002
1964,42.88356,0.62638
1965,694.45416,8.77999
1966,1790.46912,20.40351
1967,5548.58008,62.03255
1968,45.53611,1.02180
1969,879.26147,17.50791
1970,2256.94531,33.10044
1971,3383.70752,40.00527
1972,630.77283,10.76512
1973,7350.60742,69.97092
1974,611.16760,4.57316
1975,2199.62109,20.01962
1976,140.93530,1.03862
1977,291.75046,4.68322
1978,283.05417,7.73153
1979,,2.06002
1980,,4.68228
1981,991.94733,17.31162
1982,2477.80713,35.54329
1983,405.07999,5.00756
1984,313.35382,6.07614
1985,449.11853,5.13110
1986,160.77431,1.69793
1987,1115.66235,16.96749
1988,5069.56982,59.82242
1989,784.37152,10.42859
1990,225.58737,2.03543
1991,7097.60693,70.17034
1992,132.86853,2.90582
1993,301.83148,6.72689
1994,1145.26404,13.27336
1995,1086.37781,15.19349
1996,764.52161,6.26481
1997,343.12744,1.64998
1998,7204.62207,76.47903
1999,763.90417,8.18238
2000,1052.63403,9.81317
2001,231.87465,1.01882
2002,762.20703,12.48191
2003,995.20544,18.94420
2004,445.39978,2.44437
2005,313.35382,3.17510
2006,12.35961,0.54797
2007,1234.07251,10.49370
2008,1092.01868,19.31682
2009,1778.14795,29.32053
2010,6365.83301,67.70523
2011,1996.91748,25.15369
2012,7504.29980,56.18299
2013,910.22394,10.03353
2014,2744.11963,35.27335
2015,340.98022,3.85540
2016,978.31805,9.13793
2017,766.83868,11.81682
2018,318.92627,3.80597
2019,486.75671,9.96963
2020,259.32779,3.82559
2021,9235.86328,89.46774
2022,775.97583,6.55705
2023,,8.12496
